#KEY	SRR11728040_2	SRR11728041_2	SRR11728042_2	SRR11728043_2
54769	0	0	2	0
54776	7899	6220	5255	7969
54777	0	0	0	0
54778	2663	2324	2589	3121
5478	79982	58230	33767	51213
54780	812	599	249	440
54784	151	81	230	337
54785	475	273	230	397
54788	2774	2183	2299	3314
5479	10878	6964	9301	13053
54790	689	666	762	803
54793	5959	4942	3806	5184
54795	8696	5557	5324	8041
54796	329	361	304	360
54797	549	316	411	634
54798	0	0	0	1
54799	1003	916	708	964
5480	76	64	54	23
54800	2604	2112	1984	2447
54801	1869	1716	1154	1565
54802	1153	981	683	898
54805	571	457	404	520
54806	1114	1026	1060	1236
54807	2	0	11	1
54808	3464	2294	2019	2699
54809	781	744	912	999
5481	1727	1416	2075	2792
54810	0	0	0	2
54811	23	5	6	11
54812	5185	4500	3796	4870
54813	816	657	1260	1321
54814	2006	1608	1472	2516
54815	5855	4797	3916	5409
54816	1242	1082	1084	1487
54819	387	285	328	463
54820	2278	1647	640	878
54821	480	308	134	205
54822	10181	9247	7481	8828
54823	423	373	971	910
54825	13	6	8	4
54826	106	68	73	95
54827	0	0	0	0
54828	425	437	269	374
54829	0	0	0	2
54830	0	0	0	0
54831	0	2	0	3
548313	0	0	0	0
54832	10888	12119	10185	9924
548321	30	38	28	20
54834	1049	926	1053	1332
54836	36	20	2	8
54838	3058	1975	2171	2934
54839	135	125	151	279
54840	821	691	670	900
54841	0	0	0	2
54842	4603	3730	1942	2142
54843	11	18	23	24
54845	0	2	0	0
54847	2	2	6	2
54848	0	0	0	0
54849	3588	2809	1435	2303
54850	1164	1001	842	1342
54851	631	491	745	1039
54852	36	33	24	18
54853	1825	1626	1426	1946
54854	2	4	6	2
54855	497	416	390	437
54856	1645	1690	1957	2225
54857	336	366	456	515
54858	7605	6772	4618	6602
54859	875	615	600	933
548593	613	379	463	585
548596	0	0	2	0
54860	0	0	0	0
54861	1724	1567	1350	1854
54862	1762	1509	801	1045
54863	4859	3361	2139	2954
548644	659	560	817	1001
548645	141	116	216	313
54865	1235	1091	765	1042
54866	0	1	0	0
54867	4413	3176	5654	7202
54868	735	657	393	584
54869	362	321	729	951
54870	4327	4177	3890	5380
54872	1584	1539	1985	2318
54873	0	0	0	0
54874	373	322	205	252
54875	802	805	436	602
54876	1724	1534	1418	1904
54877	3571	4057	3608	4133
54878	2116	2103	2314	2557
54879	1674	1192	1057	1200
54880	5599	5953	2121	2792
54881	1581	1336	1555	1936
54882	182	170	159	235
54883	1244	1167	1264	1754
54884	2196	1668	1681	2249
54885	0	0	0	0
54886	0	0	0	0
54887	722	637	367	404
54888	6221	5645	5034	6656
54890	4425	3203	3385	4764
54891	1436	1507	1674	1794
54892	12763	11671	3098	4146
54893	2422	2274	1781	2320
54894	9	15	2	0
54896	1791	1250	940	1409
54897	421	296	78	143
54898	4	2	2	2
54899	3181	2425	1099	1244
549	670	596	209	285
54900	186	190	149	179
54901	808	648	589	811
54902	6953	6050	2401	3215
54903	375	268	161	221
54904	2785	2677	2405	2634
54905	2	5	3	19
54906	1736	1524	2179	2300
54908	1813	1417	526	672
54910	4983	3997	4871	6753
54913	4072	2844	1459	2233
54914	1910	1532	488	559
54915	2999	2163	2034	2813
54916	502	429	465	561
54918	10169	8217	8713	11813
54919	1360	1008	575	674
54920	357	243	176	231
54921	2504	1811	1361	1869
54922	34	35	5	23
54923	445	396	452	686
54925	153	188	177	255
54926	5588	4674	3556	5518
54927	4143	2830	2501	3784
54928	6328	5204	4734	6506
54929	1360	1046	738	1013
5493	7	9	2	9
54930	3085	2165	1133	1622
54931	1250	850	1321	1761
54932	125	108	73	89
54933	21	33	31	30
54934	515	619	416	502
54935	908	629	393	561
54936	1126	897	940	1269
54937	34	14	4	8
54938	1128	746	388	578
54939	3129	2049	1125	1734
5494	2113	1899	2025	2474
54940	4011	2791	3057	4388
54941	1102	746	162	262
54942	678	491	685	974
54943	16	10	24	31
54944	10	0	10	6
54946	1906	1350	841	1311
54947	3288	2660	848	1149
54948	2164	1655	1030	1764
54949	1164	797	1212	1518
5495	5048	4088	2723	3721
54951	1099	693	555	815
54952	1609	1144	803	1201
54953	921	874	1267	1635
54954	399	310	332	286
54955	771	567	688	844
54956	772	546	484	753
54957	729	536	629	946
