"","accesssions","treatment","description"
"1","GSM1571870","WT Ground rep1.","normal.gravity"
"2","GSM1571871","WT Ground rep2.","normal.gravity"
"3","GSM1571872","WT Ground rep3.","normal.gravity"
"4","GSM1571873","WT Microgravity rep1.","micro.gravity"
"5","GSM1571874","WT Microgravity rep2.","micro.gravity"
"6","GSM1571875","WT Microgravity rep3.","micro.gravity"
