"","accesssions","treatment","description"
"1","GSM4423223","EcN-MG-sta1","Total RNA without ribosomal RNA"
"2","GSM4423224","EcN-MG-sta2","Total RNA without ribosomal RNA"
"3","GSM4423227","EcN-NG-sta1","Total RNA without ribosomal RNA"
"4","GSM4423228","EcN-NG-sta2","Total RNA without ribosomal RNA"
