"","accesssions","treatment","description"
"1","GSM4423221","EcN-MG-exp1","Total RNA without ribosomal RNA"
"2","GSM4423222","EcN-MG-exp2","Total RNA without ribosomal RNA"
"3","GSM4423225","EcN-NG-exp1","Total RNA without ribosomal RNA"
"4","GSM4423226","EcN-NG-exp2","Total RNA without ribosomal RNA"
