"","accesssions","treatment","description"
"1","GSM2399976","normal-g rep. 1","normal.gravity"
"2","GSM2399977","normal-g rep. 2","normal.gravity"
"3","GSM2399978","normal-g rep. 3","normal.gravity"
"4","GSM2399979","micro-g rep. 1","micro.gravity"
"5","GSM2399980","micro-g rep. 2","micro.gravity"
"6","GSM2399981","micro-g rep. 3","micro.gravity"
