#KEY	SRR5045034_2	SRR5045035_2	SRR5045036_2	SRR5045037_2	SRR5045038_2	SRR5045039_2
Geneid	SRR5045034	SRR5045035	SRR5045036	SRR5045037	SRR5045038	SRR5045039
gene:SMU_1018	383	345	369	316	245	350
gene:SMU_1019	1249	1018	1158	1163	912	970
gene:SMU_102	46352	23841	36586	51032	39974	53883
gene:SMU_1020	3665	2775	3293	3167	2412	2531
gene:SMU_1021	6988	4948	6538	7050	4786	4624
gene:SMU_1022	2359	1650	2068	2062	1470	1556
gene:SMU_1023	7968	5411	6468	6941	4693	4717
gene:SMU_1024c	5	13	3	9	2	5
gene:SMU_1025	181	201	153	120	187	339
gene:SMU_1026	160	175	190	209	265	580
gene:SMU_1027	637	621	555	394	1036	1188
gene:SMU_1028	3493	2773	2969	3107	5631	4157
gene:SMU_1029	179	65	144	206	191	128
gene:SMU_103	22609	12060	17764	24938	16808	22520
gene:SMU_1030	145	64	136	139	153	153
gene:SMU_1031	196	64	137	102	83	112
gene:SMU_1032	1532	1508	1485	1146	927	739
gene:SMU_1034c	8701	4811	6586	10033	10377	10948
gene:SMU_1035	1253	1579	855	640	440	459
gene:SMU_1036	802	799	587	349	242	227
gene:SMU_1037c	12105	6800	8206	7506	6324	7430
gene:SMU_1038c	9666	5856	7927	7387	5382	6244
gene:SMU_1039c	12590	7774	11374	8819	7274	9571
gene:SMU_104	197410	105757	172267	193331	124618	180728
gene:SMU_1040c	15151	10735	13619	13614	12879	15174
gene:SMU_1041	8806	10254	7707	8839	10070	16066
gene:SMU_1042	18993	18691	15741	11626	15545	34882
gene:SMU_1043c	26670	19105	24221	28127	30089	45299
gene:SMU_1044c	3524	5956	3760	1694	1112	1650
gene:SMU_1045c	2634	4755	2972	1568	1042	1126
gene:SMU_1046c	3775	6606	4094	1918	1510	1308
gene:SMU_1047c	2078	3400	2035	1091	944	1233
gene:SMU_1048	4114	3771	3515	1632	1796	1607
gene:SMU_105	146394	80843	140881	144411	124267	172764
gene:SMU_1050	13693	19199	15060	9084	7464	9483
gene:SMU_1051	14739	18174	14288	9761	8010	11813
gene:SMU_1052	5530	6586	4595	2375	3305	6341
gene:SMU_1053	4340	5168	5850	6485	8300	10833
gene:SMU_1054	3227	4311	4293	3372	3086	4699
gene:SMU_1055	1286	1786	1259	1019	748	664
gene:SMU_1056	129	139	86	30	33	50
gene:SMU_1057	4518	5924	3443	2635	2889	5131
gene:SMU_1058	9277	13427	7485	5079	4096	9144
gene:SMU_1059	4100	5002	3130	2364	2935	5845
gene:SMU_1060	16778	21622	15211	12232	8559	9850
gene:SMU_1061	3774	5064	4035	2040	2102	2251
gene:SMU_1062	63144	84662	65654	32690	24874	27014
gene:SMU_1063	44211	55337	47712	26705	19714	18773
gene:SMU_1064c	2134	3735	1935	1673	2043	2962
gene:SMU_1065c	2222	4590	2291	1589	1479	2122
gene:SMU_1066	19820	29853	18943	17320	12676	12226
gene:SMU_1067c	5050	7127	4768	3844	2946	4179
gene:SMU_1068c	7118	9993	5709	4814	4387	5239
gene:SMU_1069c	2046	3100	1505	1061	1694	2550
gene:SMU_106c	24853	14937	25440	25771	17698	28756
gene:SMU_107	8	11	6	1	0	3
gene:SMU_1070c	3901	5925	2705	2737	5308	5923
gene:SMU_1071c	8604	6956	6502	4756	5106	3599
gene:SMU_1072c	4505	1855	2835	1986	1417	1381
gene:SMU_1073	86765	49313	78623	66319	47054	38814
gene:SMU_1074	3655	5345	3847	1426	1398	1476
gene:SMU_1075	2231	3250	2397	1041	816	1293
gene:SMU_1076	5722	8671	6266	2685	2161	4152
gene:SMU_1077	99628	54186	78497	120715	106190	152847
gene:SMU_1078c	12280	19066	10993	9678	7448	8042
gene:SMU_1079c	9974	13187	9240	7521	5494	5331
gene:SMU_108	175	303	154	49	26	35
gene:SMU_1080c	3446	6500	3383	2255	1328	1762
gene:SMU_1081c	4176	8256	4743	2922	1816	2001
gene:SMU_1082	5885	9522	6242	4359	2125	2128
gene:SMU_1083c	2938	4735	2822	1759	1131	1254
gene:SMU_1084	3639	6159	3830	2197	1420	1550
gene:SMU_1085	4250	6617	4517	3143	1774	1557
gene:SMU_1086	2646	4316	2741	1810	1077	1010
gene:SMU_1087	807	1219	931	662	651	660
gene:SMU_1088	20279	16271	13788	16873	29259	51363
gene:SMU_1089	12986	9639	8875	8064	8802	13910
gene:SMU_109	732	1453	849	319	220	283
gene:SMU_1090	30713	21881	22360	29659	25149	30723
gene:SMU_1091	10068	17342	13332	5632	3762	3121
gene:SMU_1093	6278	6878	4811	2927	1669	693
gene:SMU_1094	2015	2497	1690	927	535	358
gene:SMU_1095	21275	32484	23488	13374	11196	12957
gene:SMU_1096	8629	10917	8505	5054	3369	3124
gene:SMU_1097c	5067	6037	4974	2348	1770	1568
gene:SMU_1098c	11014	13832	12115	7277	5244	3224
gene:SMU_11	481	808	358	63	78	443
gene:SMU_110	2642	4405	1823	632	1456	2624
gene:SMU_1100c	5442	9425	5397	3152	3033	3053
gene:SMU_1102	7778	8714	6449	6200	4955	5991
gene:SMU_1104c	1827	2107	1838	1937	1525	1660
gene:SMU_1105c	3224	3308	2906	2861	2020	2461
gene:SMU_1106c	2436	2538	2235	2138	1730	2029
gene:SMU_1107c	2602	2617	2203	2163	1813	1926
gene:SMU_1108c	4464	4722	4287	5144	4915	5377
gene:SMU_1109c	8684	14040	9632	6655	4962	7238
gene:SMU_1111c	4219	4377	3898	2559	2622	3336
