#KEY	SRR10084977_2	SRR10084978_2	SRR10084979_2	SRR10084980_2	SRR10084981_2	SRR10084982_2	SRR10084983_2	SRR10084984_2	SRR10084985_2	SRR10084986_2	SRR10084987_2	SRR10084988_2	SRR10084989_2	SRR10084990_2	SRR10084991_2	SRR10084992_2	SRR10084993_2	SRR10084994_2
7917	23	17	27	10	15	27	56	20	39	23	3	46	22	18	40	20	15	34
79170	4	1323	22	16	2780	56	2	784	77	6	507	58	10	311	1	23	670	2
79171	8556	7389	11032	7948	8097	10814	9922	7918	8382	6504	5189	7834	6427	3054	10672	6883	8184	6854
79172	398	820	2203	499	858	2130	319	718	1044	239	425	1143	770	1249	1452	633	878	748
79173	79	150	727	76	196	723	160	128	224	99	80	463	63	135	564	83	157	783
79174	2997	4134	3552	2783	5254	3962	4087	6171	3371	2441	4577	2906	2481	3223	3433	2705	4787	2522
79175	551	509	659	629	604	806	599	529	483	328	376	536	643	719	620	740	649	538
79176	3089	1782	3021	2696	2371	2730	3712	2367	2301	2495	1672	2446	1622	432	3745	1930	2219	2858
79177	711	801	875	755	905	998	858	887	688	525	672	842	728	583	1055	712	848	767
79178	1411	1044	1458	1319	988	1387	1924	1338	1045	1310	969	1527	1239	724	1603	1192	1291	1359
7918	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
79180	1530	4231	3590	1353	6088	3561	1903	2869	3292	1241	2221	2257	1777	2209	3092	2025	3173	2137
79183	1274	1267	2011	1686	1631	1853	1298	1665	1376	918	1223	1818	1744	2049	2255	2154	2101	1735
79184	782	882	1343	1003	1382	1393	922	1290	1197	696	800	1318	1030	1568	1334	1039	1043	1004
79187	148	56	2853	173	37	2815	264	202	752	230	118	3426	53	48	2289	98	62	3010
79188	4986	5608	6400	5132	6916	6065	3757	6188	4500	2391	3777	4657	6535	8271	7276	7851	8099	5167
7919	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
79190	261	57	55	160	12	84	141	42	182	124	32	46	41	0	74	21	20	102
79191	8063	3620	4861	5733	2249	10187	13027	3315	13534	8570	2138	12199	1662	693	6258	2157	2784	6882
79192	1757	969	3266	1426	834	3934	1581	898	2121	1293	572	4869	772	336	3364	837	895	4696
7920	1	0	2	0	1	0	0	1	0	0	0	0	0	3	0	1	1	1
7922	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	2	1	0
79228	1157	1541	2311	1112	1784	2537	1229	1781	1574	971	1337	1144	1212	1220	1541	1196	1866	965
7923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79230	313	377	433	408	377	401	342	425	362	184	216	538	780	1264	489	764	434	437
79258	0	0	8	0	0	0	0	2	0	0	3	2	0	0	8	0	3	2
79269	2777	2086	2894	3516	2874	3021	5007	3090	2867	3141	2094	3127	3136	3225	3381	3657	2629	2312
79290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
793	5	10	1512	4	16	601	6	6	154	11	2	1197	0	6	824	11	3	555
79310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
79345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7936	15	18	40	39	20	28	47	33	45	38	23	27	29	29	30	10	28	21
79363	684	462	846	699	612	733	985	598	492	653	337	694	830	819	985	911	601	682
79364	2602	2016	3934	3130	2211	3476	3868	2087	2719	2858	1296	3595	2446	2001	3828	3280	2249	3078
79365	2132	1272	945	2225	1190	781	1419	1623	311	779	1102	346	1904	838	1177	3286	1373	698
79366	219	254	411	420	443	591	274	595	577	193	312	371	420	269	477	499	457	287
79368	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	1
79369	14	16	46	25	20	19	0	26	7	12	5	51	8	14	27	1	10	83
79370	6	97	6	0	222	2	0	95	24	0	77	4	10	68	0	0	52	6
794	1957	1200	157	3092	1299	130	346	2484	80	102	1770	279	3220	1400	118	6410	1922	377
7940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79400	0	0	12	8	0	6	2	9	6	6	17	2	0	0	0	7	14	0
7941	152	164	2	284	301	703	215	121	962	120	46	29	146	161	20	903	291	0
79411	230	302	657	223	350	436	245	370	329	149	331	334	302	388	902	383	458	441
79412	159	2157	406	132	2481	537	78	1878	146	43	1395	215	1396	979	244	746	3477	325
79413	20	0	0	12	0	0	20	30	0	6	0	0	2	0	2	4	0	0
79414	1957	1720	3715	1827	1804	3299	2287	1992	1893	1667	1297	3455	1225	705	4089	1729	2017	2954
79415	3156	4870	4453	3076	5630	4358	3337	4569	3451	2174	3269	3846	3354	3033	4364	3664	6136	3019
7942	3238	1363	532	2899	1832	1099	4732	1466	2412	3838	1090	1394	1907	581	1000	1721	1085	822
79441	371	284	539	378	361	592	406	319	473	234	250	511	338	528	440	422	412	383
79442	1117	271	181	939	260	348	2397	352	1031	1620	175	518	678	431	335	560	308	262
79443	7624	3112	2967	9129	3567	3286	12783	4067	6964	8750	2757	4853	8189	7361	4110	10358	3886	2502
79444	6	20	8	18	14	166	10	7	116	18	10	15	20	0	18	16	22	16
79446	761	616	803	775	835	725	983	840	718	550	673	744	940	709	789	982	866	776
79447	4724	3116	3902	4028	3547	4705	5084	3504	3967	3806	2810	3887	3066	2073	4276	2993	3462	2812
79465	52	105	514	127	106	259	58	184	116	60	94	326	162	243	654	194	133	152
79469	7	9	22	0	10	8	2	16	2	10	4	8	2	14	5	3	15	4
79473	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
795	0	14	0	0	13	0	0	30	0	0	50	0	0	0	0	0	1	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79541	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
79544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7955	12	10	3	15	15	5	9	22	22	8	23	16	7	10	8	19	8	4
79567	9080	4919	5846	7796	4218	5364	11636	5423	6385	7732	3695	6918	6238	3989	6479	7040	5762	5842
79568	800	572	762	841	729	772	1033	714	918	629	611	727	543	459	713	627	670	562
7957	912	316	718	1039	262	611	1893	465	977	1192	376	1160	988	573	816	810	390	727
79570	13	69	6508	36	88	4738	14	20	663	18	14	8751	8	147	3327	29	63	7183
79571	1868	1444	2192	2157	1633	2116	2291	1799	2002	1296	1164	2139	2100	2494	2213	2634	1961	1735
79572	38377	13538	8416	46063	12232	11117	51790	15932	21873	31237	11409	18579	24680	28321	13546	38133	16493	14361
79573	636	592	1063	738	638	808	830	818	678	551	568	1258	861	744	1182	923	699	1187
79574	0	1143	16	0	1622	11	8	967	66	2	599	6	5	347	9	2	614	3
79575	2663	1362	2397	2379	1507	2460	3865	2403	2033	2797	1469	2430	2274	771	3087	2280	1659	2651
79576	1105	833	1425	1232	1138	1244	1591	1156	1284	799	804	1187	1137	849	1332	1275	1046	915
