"","accessions","treatment","description"
"1","GSM4340368","Ng-1","Mock buffer, normal gravity, replicate 1"
"2","GSM4340369","Ng-2","Mock buffer, normal gravity, replicate 2"
"3","GSM4340370","Ng-3","Mock buffer, normal gravity, replicate 3"
"4","GSM4340374","Smg-1","Mock buffer, simulated microgravity, replicate 1"
"5","GSM4340375","Smg-2","Mock buffer, simulated microgravity, replicate 2"
"6","GSM4340376","Smg-3","Mock buffer, simulated microgravity, replicate 3"
