"","accessions","treatment","description"
"1","GSM2817070","bric-16-cyt-flight-f-f2","Spaceflight"
"2","GSM2817071","bric-16-cyt-flight-f-f3","Spaceflight"
"3","GSM2817072","bric-16-cyt-flight-f-f4","Spaceflight"
"4","GSM2817073","bric-16-cyt-ground-h-f2","Ground Control"
"5","GSM2817074","bric-16-cyt-ground-h-f3","Ground Control"
"6","GSM2817075","bric-16-cyt-ground-h-f4","Ground Control"
