Geneid	SRR11357516
gene:ECOLIN_01085	3832
gene:ECOLIN_01090	1
gene:ECOLIN_01095	15
gene:ECOLIN_01100	41
gene:ECOLIN_01105	314
gene:ECOLIN_01110	4111
gene:ECOLIN_01115	452
gene:ECOLIN_01120	240
gene:ECOLIN_01125	127
gene:ECOLIN_01130	257
gene:ECOLIN_01135	147
gene:ECOLIN_01140	1022
gene:ECOLIN_01145	92
gene:ECOLIN_01155	18
gene:ECOLIN_01160	34
gene:ECOLIN_01170	3001
gene:ECOLIN_01175	94
gene:ECOLIN_01180	270
gene:ECOLIN_01190	8
gene:ECOLIN_01195	16
gene:ECOLIN_01200	0
gene:ECOLIN_01205	9
gene:ECOLIN_01210	43
gene:ECOLIN_01215	1
gene:ECOLIN_01220	6
gene:ECOLIN_01225	14
gene:ECOLIN_01230	114
gene:ECOLIN_01235	6
gene:ECOLIN_01240	0
gene:ECOLIN_01245	2
gene:ECOLIN_01255	0
gene:ECOLIN_01260	0
gene:ECOLIN_01265	0
gene:ECOLIN_01270	0
gene:ECOLIN_01275	1
gene:ECOLIN_01280	1
gene:ECOLIN_01285	0
gene:ECOLIN_01290	1
gene:ECOLIN_01295	2
gene:ECOLIN_01300	17
gene:ECOLIN_01305	10
gene:ECOLIN_01310	0
gene:ECOLIN_01315	16
gene:ECOLIN_01320	2
gene:ECOLIN_01325	6
gene:ECOLIN_01330	33
gene:ECOLIN_01340	0
gene:ECOLIN_01345	7
gene:ECOLIN_01350	8
gene:ECOLIN_01355	0
gene:ECOLIN_01360	1
gene:ECOLIN_01375	6
gene:ECOLIN_01380	0
gene:ECOLIN_01385	19
gene:ECOLIN_01395	6
gene:ECOLIN_01400	6
gene:ECOLIN_01405	11
gene:ECOLIN_01410	1
gene:ECOLIN_01415	2
gene:ECOLIN_01420	98
gene:ECOLIN_01425	23
gene:ECOLIN_01430	1015
gene:ECOLIN_01435	130
gene:ECOLIN_01440	274
gene:ECOLIN_01445	49
gene:ECOLIN_01450	2
gene:ECOLIN_01455	17
gene:ECOLIN_01460	34
gene:ECOLIN_01465	71
gene:ECOLIN_01470	3
gene:ECOLIN_01475	21
gene:ECOLIN_01485	388
gene:ECOLIN_01490	33
gene:ECOLIN_01495	31
gene:ECOLIN_01500	1
gene:ECOLIN_01505	1
gene:ECOLIN_01510	4
gene:ECOLIN_01520	146
gene:ECOLIN_01525	2
gene:ECOLIN_01530	0
gene:ECOLIN_01535	5
gene:ECOLIN_01540	0
gene:ECOLIN_01545	90
gene:ECOLIN_01550	10
gene:ECOLIN_01555	107
gene:ECOLIN_01560	611
gene:ECOLIN_01565	151
gene:ECOLIN_01570	240
gene:ECOLIN_01575	30
gene:ECOLIN_01580	15
gene:ECOLIN_01585	294
gene:ECOLIN_01595	94
gene:ECOLIN_01605	737
gene:ECOLIN_01610	6
gene:ECOLIN_01620	1
gene:ECOLIN_01625	83
gene:ECOLIN_01635	837
gene:ECOLIN_01640	70
gene:ECOLIN_01645	111
gene:ECOLIN_01650	109
gene:ECOLIN_01655	228
gene:ECOLIN_01660	147
gene:ECOLIN_01670	1
gene:ECOLIN_01675	8
gene:ECOLIN_01685	571
gene:ECOLIN_01690	4192
gene:ECOLIN_01695	202
gene:ECOLIN_01700	418
gene:ECOLIN_01705	291
gene:ECOLIN_01710	558
gene:ECOLIN_01715	50
gene:ECOLIN_01720	36
gene:ECOLIN_01725	4
gene:ECOLIN_01730	444
gene:ECOLIN_01735	78
gene:ECOLIN_01740	41
gene:ECOLIN_01745	95
gene:ECOLIN_01750	3621
gene:ECOLIN_01755	127
gene:ECOLIN_01760	1505
gene:ECOLIN_01765	575
gene:ECOLIN_01770	57
gene:ECOLIN_01775	1227
gene:ECOLIN_01780	1127
gene:ECOLIN_01785	51
gene:ECOLIN_01790	64
gene:ECOLIN_01795	1
gene:ECOLIN_01800	1247
gene:ECOLIN_01810	21
gene:ECOLIN_01815	676
gene:ECOLIN_01825	96
gene:ECOLIN_01830	274
gene:ECOLIN_01835	510
gene:ECOLIN_01840	190
gene:ECOLIN_01845	566
gene:ECOLIN_01850	576
gene:ECOLIN_01855	155
gene:ECOLIN_01860	516
gene:ECOLIN_01865	6
gene:ECOLIN_01875	1049
gene:ECOLIN_01880	243
gene:ECOLIN_01885	420
gene:ECOLIN_01890	8
gene:ECOLIN_01895	200
gene:ECOLIN_01900	222
gene:ECOLIN_01905	90
gene:ECOLIN_01910	286
gene:ECOLIN_01915	24
gene:ECOLIN_01920	4
gene:ECOLIN_01925	164
gene:ECOLIN_01930	39
gene:ECOLIN_01935	261
gene:ECOLIN_01940	477
gene:ECOLIN_01945	118
gene:ECOLIN_01950	14
gene:ECOLIN_01955	169
gene:ECOLIN_01960	29
gene:ECOLIN_01965	37
gene:ECOLIN_01970	33
gene:ECOLIN_01975	16
gene:ECOLIN_01980	622
gene:ECOLIN_01985	1685
gene:ECOLIN_01990	993
gene:ECOLIN_01995	623
gene:ECOLIN_02000	93
gene:ECOLIN_02005	47
gene:ECOLIN_02010	5
gene:ECOLIN_02015	55
gene:ECOLIN_02020	6
gene:ECOLIN_02025	64
gene:ECOLIN_02035	4
gene:ECOLIN_02040	3
gene:ECOLIN_02045	1
gene:ECOLIN_02050	13
gene:ECOLIN_02055	143
gene:ECOLIN_02060	549
gene:ECOLIN_02065	89
gene:ECOLIN_02070	1717
gene:ECOLIN_02075	154
gene:ECOLIN_02080	9
gene:ECOLIN_02085	42
gene:ECOLIN_02090	29
gene:ECOLIN_02095	102
gene:ECOLIN_02100	32
gene:ECOLIN_02105	333
gene:ECOLIN_02110	131
gene:ECOLIN_02115	129
gene:ECOLIN_02120	337
gene:ECOLIN_02130	83
gene:ECOLIN_02135	173
gene:ECOLIN_02140	283
gene:ECOLIN_02145	82
gene:ECOLIN_02150	105
gene:ECOLIN_02155	1
gene:ECOLIN_02160	0
gene:ECOLIN_02165	1
gene:ECOLIN_02170	10
