Geneid	SRR11357514
gene:ECOLIN_00010	5269
gene:ECOLIN_00015	1660
gene:ECOLIN_00020	2655
gene:ECOLIN_00025	129
gene:ECOLIN_00030	644
gene:ECOLIN_00035	210
gene:ECOLIN_00040	8875
gene:ECOLIN_00045	402
gene:ECOLIN_00050	189
gene:ECOLIN_00055	13
gene:ECOLIN_00060	10
gene:ECOLIN_00065	8472
gene:ECOLIN_00070	1438
gene:ECOLIN_00075	531
gene:ECOLIN_00080	4
gene:ECOLIN_00085	31
gene:ECOLIN_00090	77
gene:ECOLIN_00095	597
gene:ECOLIN_00100	244
gene:ECOLIN_00105	4427
gene:ECOLIN_00110	2918
gene:ECOLIN_00115	11830
gene:ECOLIN_00120	1103
gene:ECOLIN_00125	788
gene:ECOLIN_00130	1077
gene:ECOLIN_00135	130
gene:ECOLIN_00140	28
gene:ECOLIN_00145	1145
gene:ECOLIN_00155	2583
gene:ECOLIN_00160	5278
gene:ECOLIN_00165	128
gene:ECOLIN_00170	40
gene:ECOLIN_00175	15
gene:ECOLIN_00180	282
gene:ECOLIN_00185	66
gene:ECOLIN_00190	188
gene:ECOLIN_00195	7
gene:ECOLIN_00200	4
gene:ECOLIN_00205	12
gene:ECOLIN_00210	14
gene:ECOLIN_00215	1
gene:ECOLIN_00220	22
gene:ECOLIN_00225	105
gene:ECOLIN_00230	396
gene:ECOLIN_00235	306
gene:ECOLIN_00240	228
gene:ECOLIN_00245	205
gene:ECOLIN_00250	1043
gene:ECOLIN_00255	688
gene:ECOLIN_00260	1539
gene:ECOLIN_00265	1631
gene:ECOLIN_00270	5687
gene:ECOLIN_00275	7617
gene:ECOLIN_00280	407
gene:ECOLIN_00285	161
gene:ECOLIN_00290	517
gene:ECOLIN_00295	372
gene:ECOLIN_00300	16
gene:ECOLIN_00305	50
gene:ECOLIN_00310	24
gene:ECOLIN_00315	140
gene:ECOLIN_00320	3
gene:ECOLIN_00325	1
gene:ECOLIN_00330	139
gene:ECOLIN_00335	191
gene:ECOLIN_00340	471
gene:ECOLIN_00345	1569
gene:ECOLIN_00350	242
gene:ECOLIN_00355	240
gene:ECOLIN_00360	615
gene:ECOLIN_00365	1178
gene:ECOLIN_00370	902
gene:ECOLIN_00375	1244
gene:ECOLIN_00380	190
gene:ECOLIN_00385	3441
gene:ECOLIN_00390	1060
gene:ECOLIN_00395	1398
gene:ECOLIN_00400	643
gene:ECOLIN_00405	1084
gene:ECOLIN_00410	226
gene:ECOLIN_00415	1339
gene:ECOLIN_00420	1532
gene:ECOLIN_00425	1440
gene:ECOLIN_00430	783
gene:ECOLIN_00435	833
gene:ECOLIN_00440	1045
gene:ECOLIN_00445	1029
gene:ECOLIN_00450	1946
gene:ECOLIN_00455	1239
gene:ECOLIN_00460	1064
gene:ECOLIN_00465	1565
gene:ECOLIN_00470	7190
gene:ECOLIN_00475	12905
gene:ECOLIN_00480	923
gene:ECOLIN_00485	6693
gene:ECOLIN_00490	40
gene:ECOLIN_00495	69
gene:ECOLIN_00500	71
gene:ECOLIN_00505	218
gene:ECOLIN_00510	188
gene:ECOLIN_00515	647
gene:ECOLIN_00520	513
gene:ECOLIN_00525	2156
gene:ECOLIN_00530	61
gene:ECOLIN_00535	44
gene:ECOLIN_00540	2
gene:ECOLIN_00545	1156
gene:ECOLIN_00550	346
gene:ECOLIN_00555	486
gene:ECOLIN_00560	4741
gene:ECOLIN_00565	136
gene:ECOLIN_00570	57
gene:ECOLIN_00580	56
gene:ECOLIN_00585	156
gene:ECOLIN_00590	715
gene:ECOLIN_00595	2966
gene:ECOLIN_00600	28608
gene:ECOLIN_00610	6872
gene:ECOLIN_00615	211
gene:ECOLIN_00620	6585
gene:ECOLIN_00625	85
gene:ECOLIN_00630	996
gene:ECOLIN_00635	1240
gene:ECOLIN_00640	618
gene:ECOLIN_00645	1176
gene:ECOLIN_00650	381
gene:ECOLIN_00655	855
gene:ECOLIN_00660	2840
gene:ECOLIN_00665	420
gene:ECOLIN_00670	462
gene:ECOLIN_00675	167
gene:ECOLIN_00680	206
gene:ECOLIN_00685	2053
gene:ECOLIN_00690	83
gene:ECOLIN_00695	84
gene:ECOLIN_00705	2459
gene:ECOLIN_00710	735
gene:ECOLIN_00715	23
gene:ECOLIN_00720	20
gene:ECOLIN_00725	30
gene:ECOLIN_00730	183
gene:ECOLIN_00735	18
gene:ECOLIN_00740	18
gene:ECOLIN_00745	190
gene:ECOLIN_00750	2797
gene:ECOLIN_00755	304
gene:ECOLIN_00760	43
gene:ECOLIN_00765	22
gene:ECOLIN_00770	0
gene:ECOLIN_00775	39
gene:ECOLIN_00780	21
gene:ECOLIN_00785	10
gene:ECOLIN_00790	502
gene:ECOLIN_00795	2728
gene:ECOLIN_00805	11672
gene:ECOLIN_00810	1393
gene:ECOLIN_00815	1191
gene:ECOLIN_00820	1202
gene:ECOLIN_00825	2453
gene:ECOLIN_00830	592
gene:ECOLIN_00835	518
gene:ECOLIN_00840	138
gene:ECOLIN_00845	333
gene:ECOLIN_00850	1205
gene:ECOLIN_00855	745
gene:ECOLIN_00860	1934
gene:ECOLIN_00865	119
gene:ECOLIN_00870	1700
gene:ECOLIN_00875	9132
gene:ECOLIN_00880	1560
gene:ECOLIN_00885	2353
gene:ECOLIN_00890	16716
gene:ECOLIN_00895	8147
gene:ECOLIN_00900	1922
gene:ECOLIN_00905	5575
gene:ECOLIN_00915	1478
gene:ECOLIN_00920	1052
gene:ECOLIN_00925	2936
gene:ECOLIN_00930	13150
gene:ECOLIN_00935	8942
gene:ECOLIN_00940	8361
gene:ECOLIN_00945	2601
gene:ECOLIN_00950	2526
gene:ECOLIN_00955	1608
gene:ECOLIN_00960	627
gene:ECOLIN_00965	3296
gene:ECOLIN_00970	2696
gene:ECOLIN_00975	372
gene:ECOLIN_00980	96
gene:ECOLIN_00985	472
gene:ECOLIN_00990	300
gene:ECOLIN_00995	270
gene:ECOLIN_01000	320
gene:ECOLIN_01005	250
gene:ECOLIN_01010	321
gene:ECOLIN_01015	199
gene:ECOLIN_01020	44
gene:ECOLIN_01025	56
gene:ECOLIN_01030	87
gene:ECOLIN_01035	6013
gene:ECOLIN_01040	644
gene:ECOLIN_01045	1166
gene:ECOLIN_01050	11373
gene:ECOLIN_01055	2713
gene:ECOLIN_01060	2047
gene:ECOLIN_01065	2
gene:ECOLIN_01070	11
gene:ECOLIN_01075	0
gene:ECOLIN_01080	0
gene:ECOLIN_01085	5796
gene:ECOLIN_01090	4
gene:ECOLIN_01095	37
gene:ECOLIN_01100	36
gene:ECOLIN_01105	100
gene:ECOLIN_01110	1255
gene:ECOLIN_01115	209
gene:ECOLIN_01120	2587
gene:ECOLIN_01125	620
gene:ECOLIN_01130	424
gene:ECOLIN_01135	424
gene:ECOLIN_01140	986
gene:ECOLIN_01145	93
gene:ECOLIN_01155	28
gene:ECOLIN_01160	41
gene:ECOLIN_01170	1354
gene:ECOLIN_01175	20
gene:ECOLIN_01180	65
gene:ECOLIN_01190	19
gene:ECOLIN_01195	13
gene:ECOLIN_01200	0
gene:ECOLIN_01205	10
gene:ECOLIN_01210	41
gene:ECOLIN_01215	0
gene:ECOLIN_01220	3
gene:ECOLIN_01225	8
gene:ECOLIN_01230	51
gene:ECOLIN_01235	2
gene:ECOLIN_01240	0
gene:ECOLIN_01245	0
gene:ECOLIN_01255	0
gene:ECOLIN_01260	0
gene:ECOLIN_01265	0
gene:ECOLIN_01270	0
gene:ECOLIN_01275	0
gene:ECOLIN_01280	0
gene:ECOLIN_01285	0
gene:ECOLIN_01290	0
gene:ECOLIN_01295	0
gene:ECOLIN_01300	4
gene:ECOLIN_01305	6
gene:ECOLIN_01310	0
gene:ECOLIN_01315	10
gene:ECOLIN_01320	4
gene:ECOLIN_01325	5
gene:ECOLIN_01330	14
gene:ECOLIN_01340	0
gene:ECOLIN_01345	6
gene:ECOLIN_01350	5
gene:ECOLIN_01355	2
gene:ECOLIN_01360	0
gene:ECOLIN_01375	2
gene:ECOLIN_01380	0
gene:ECOLIN_01385	9
gene:ECOLIN_01395	8
gene:ECOLIN_01400	3
gene:ECOLIN_01405	4
gene:ECOLIN_01410	0
gene:ECOLIN_01415	3
gene:ECOLIN_01420	101
gene:ECOLIN_01425	13
gene:ECOLIN_01430	831
gene:ECOLIN_01435	184
gene:ECOLIN_01440	102
gene:ECOLIN_01445	258
gene:ECOLIN_01450	15
gene:ECOLIN_01455	37
gene:ECOLIN_01460	22
gene:ECOLIN_01465	142
gene:ECOLIN_01470	0
gene:ECOLIN_01475	11
gene:ECOLIN_01485	173
gene:ECOLIN_01490	15
gene:ECOLIN_01495	49
gene:ECOLIN_01500	34
gene:ECOLIN_01505	40
gene:ECOLIN_01510	25
gene:ECOLIN_01520	63
gene:ECOLIN_01525	23
gene:ECOLIN_01530	0
gene:ECOLIN_01535	7
gene:ECOLIN_01540	2
gene:ECOLIN_01545	119
gene:ECOLIN_01550	13
gene:ECOLIN_01555	151
gene:ECOLIN_01560	406
gene:ECOLIN_01565	124
gene:ECOLIN_01570	469
gene:ECOLIN_01575	45
gene:ECOLIN_01580	72
gene:ECOLIN_01585	560
gene:ECOLIN_01595	139
gene:ECOLIN_01605	1022
gene:ECOLIN_01610	5
gene:ECOLIN_01620	0
gene:ECOLIN_01625	74
gene:ECOLIN_01635	903
gene:ECOLIN_01640	32
gene:ECOLIN_01645	49
gene:ECOLIN_01650	118
gene:ECOLIN_01655	314
gene:ECOLIN_01660	142
gene:ECOLIN_01670	1
gene:ECOLIN_01675	13
gene:ECOLIN_01685	594
gene:ECOLIN_01690	644
gene:ECOLIN_01695	86
gene:ECOLIN_01700	1031
gene:ECOLIN_01705	549
gene:ECOLIN_01710	2432
gene:ECOLIN_01715	44
gene:ECOLIN_01720	37
gene:ECOLIN_01725	6
gene:ECOLIN_01730	79
gene:ECOLIN_01735	37
gene:ECOLIN_01740	57
gene:ECOLIN_01745	87
gene:ECOLIN_01750	5978
gene:ECOLIN_01755	1565
gene:ECOLIN_01760	1068
gene:ECOLIN_01765	705
gene:ECOLIN_01770	43
gene:ECOLIN_01775	1842
gene:ECOLIN_01780	1976
gene:ECOLIN_01785	54
gene:ECOLIN_01790	37
gene:ECOLIN_01795	13
gene:ECOLIN_01800	1083
gene:ECOLIN_01810	31
gene:ECOLIN_01815	5946
gene:ECOLIN_01825	287
gene:ECOLIN_01830	597
gene:ECOLIN_01835	1378
gene:ECOLIN_01840	1025
gene:ECOLIN_01845	3465
gene:ECOLIN_01850	870
gene:ECOLIN_01855	1237
gene:ECOLIN_01860	2868
gene:ECOLIN_01865	20
gene:ECOLIN_01875	691
gene:ECOLIN_01880	264
gene:ECOLIN_01885	364
gene:ECOLIN_01890	4
gene:ECOLIN_01895	44
gene:ECOLIN_01900	128
gene:ECOLIN_01905	105
gene:ECOLIN_01910	537
gene:ECOLIN_01915	11
gene:ECOLIN_01920	4
gene:ECOLIN_01925	155
gene:ECOLIN_01930	65
gene:ECOLIN_01935	70
gene:ECOLIN_01940	141
gene:ECOLIN_01945	65
gene:ECOLIN_01950	10
gene:ECOLIN_01955	141
gene:ECOLIN_01960	11
gene:ECOLIN_01965	25
gene:ECOLIN_01970	73
gene:ECOLIN_01975	71
gene:ECOLIN_01980	1539
gene:ECOLIN_01985	1355
gene:ECOLIN_01990	383
gene:ECOLIN_01995	447
gene:ECOLIN_02000	731
gene:ECOLIN_02005	92
gene:ECOLIN_02010	6
gene:ECOLIN_02015	80
gene:ECOLIN_02020	12
gene:ECOLIN_02025	49
gene:ECOLIN_02035	0
gene:ECOLIN_02040	10
gene:ECOLIN_02045	0
gene:ECOLIN_02050	9
gene:ECOLIN_02055	87
gene:ECOLIN_02060	299
gene:ECOLIN_02065	27
gene:ECOLIN_02070	352
gene:ECOLIN_02075	31
gene:ECOLIN_02080	9
gene:ECOLIN_02085	17
gene:ECOLIN_02090	27
gene:ECOLIN_02095	56
gene:ECOLIN_02100	102
gene:ECOLIN_02105	552
gene:ECOLIN_02110	306
gene:ECOLIN_02115	236
gene:ECOLIN_02120	1936
gene:ECOLIN_02130	281
gene:ECOLIN_02135	195
gene:ECOLIN_02140	336
gene:ECOLIN_02145	59
gene:ECOLIN_02150	31
gene:ECOLIN_02155	2
gene:ECOLIN_02160	0
gene:ECOLIN_02165	0
gene:ECOLIN_02170	3
gene:ECOLIN_02175	4
gene:ECOLIN_02180	0
gene:ECOLIN_02185	113
gene:ECOLIN_02190	66
gene:ECOLIN_02195	49
gene:ECOLIN_02200	130
gene:ECOLIN_02205	1635
gene:ECOLIN_02210	945
gene:ECOLIN_02215	5
gene:ECOLIN_02220	371
gene:ECOLIN_02225	306
gene:ECOLIN_02230	495
gene:ECOLIN_02235	95
gene:ECOLIN_02240	44
gene:ECOLIN_02245	1084
gene:ECOLIN_02250	445
gene:ECOLIN_02255	345
gene:ECOLIN_02260	100
gene:ECOLIN_02265	45
gene:ECOLIN_02270	546
gene:ECOLIN_02275	303
gene:ECOLIN_02280	2408
gene:ECOLIN_02285	587
gene:ECOLIN_02290	263
gene:ECOLIN_02295	789
gene:ECOLIN_02300	224
gene:ECOLIN_02305	584
gene:ECOLIN_02310	180
gene:ECOLIN_02315	357
gene:ECOLIN_02320	884
gene:ECOLIN_02325	365
gene:ECOLIN_02330	248
gene:ECOLIN_02335	243
gene:ECOLIN_02340	3561
gene:ECOLIN_02345	755
gene:ECOLIN_02350	275
gene:ECOLIN_02355	245
gene:ECOLIN_02360	281
gene:ECOLIN_02365	233
gene:ECOLIN_02370	79
gene:ECOLIN_02375	179
gene:ECOLIN_02380	221
gene:ECOLIN_02385	287
gene:ECOLIN_02390	19
gene:ECOLIN_02395	226
gene:ECOLIN_02400	1586
gene:ECOLIN_02405	799
gene:ECOLIN_02410	1267
gene:ECOLIN_02415	18
gene:ECOLIN_02420	356
gene:ECOLIN_02425	786
gene:ECOLIN_02430	1414
gene:ECOLIN_02435	1748
gene:ECOLIN_02440	122
gene:ECOLIN_02445	185
gene:ECOLIN_02450	734
gene:ECOLIN_02455	1394
gene:ECOLIN_02460	949
gene:ECOLIN_02465	308
gene:ECOLIN_02470	890
gene:ECOLIN_02475	402
gene:ECOLIN_02480	511
gene:ECOLIN_02485	1563
gene:ECOLIN_02490	257
gene:ECOLIN_02495	594
gene:ECOLIN_02500	362
gene:ECOLIN_02505	880
gene:ECOLIN_02510	4559
gene:ECOLIN_02515	3380
gene:ECOLIN_02520	484
gene:ECOLIN_02525	955
gene:ECOLIN_02530	489
gene:ECOLIN_02535	178
gene:ECOLIN_02540	9268
gene:ECOLIN_02545	2535
gene:ECOLIN_02550	5685
gene:ECOLIN_02555	4822
gene:ECOLIN_02560	5791
gene:ECOLIN_02565	5505
gene:ECOLIN_02570	60
gene:ECOLIN_02575	54
gene:ECOLIN_02580	520
gene:ECOLIN_02585	151
gene:ECOLIN_02590	358
gene:ECOLIN_02595	8
gene:ECOLIN_02600	13
gene:ECOLIN_02605	373
gene:ECOLIN_02610	302
gene:ECOLIN_02620	134
gene:ECOLIN_02625	659
gene:ECOLIN_02630	318
gene:ECOLIN_02635	305
gene:ECOLIN_02640	280
gene:ECOLIN_02645	65
gene:ECOLIN_02650	327
gene:ECOLIN_02655	88
gene:ECOLIN_02660	422
gene:ECOLIN_02665	864
gene:ECOLIN_02670	551
gene:ECOLIN_02675	5675
gene:ECOLIN_02680	2207
gene:ECOLIN_02685	579
gene:ECOLIN_02690	1558
gene:ECOLIN_02700	255
gene:ECOLIN_02705	635
gene:ECOLIN_02710	1107
gene:ECOLIN_02715	1507
gene:ECOLIN_02720	919
gene:ECOLIN_02725	1070
gene:ECOLIN_02730	1827
gene:ECOLIN_02735	2924
gene:ECOLIN_02740	368
gene:ECOLIN_02745	59
gene:ECOLIN_02750	739
gene:ECOLIN_02755	419
