Geneid	SRR11357511
gene:ECOLIN_00010	5607
gene:ECOLIN_00015	2027
gene:ECOLIN_00020	2750
gene:ECOLIN_00025	145
gene:ECOLIN_00030	730
gene:ECOLIN_00035	187
gene:ECOLIN_00040	9442
gene:ECOLIN_00045	431
gene:ECOLIN_00050	189
gene:ECOLIN_00055	23
gene:ECOLIN_00060	38
gene:ECOLIN_00065	13407
gene:ECOLIN_00070	2394
gene:ECOLIN_00075	660
gene:ECOLIN_00080	5
gene:ECOLIN_00085	74
gene:ECOLIN_00090	100
gene:ECOLIN_00095	598
gene:ECOLIN_00100	276
gene:ECOLIN_00105	5251
gene:ECOLIN_00110	2913
gene:ECOLIN_00115	12723
gene:ECOLIN_00120	1228
gene:ECOLIN_00125	950
gene:ECOLIN_00130	1209
gene:ECOLIN_00135	123
gene:ECOLIN_00140	43
gene:ECOLIN_00145	1891
gene:ECOLIN_00155	1594
gene:ECOLIN_00160	3787
gene:ECOLIN_00165	131
gene:ECOLIN_00170	31
gene:ECOLIN_00175	21
gene:ECOLIN_00180	356
gene:ECOLIN_00185	116
gene:ECOLIN_00190	233
gene:ECOLIN_00195	12
gene:ECOLIN_00200	18
gene:ECOLIN_00205	20
gene:ECOLIN_00210	19
gene:ECOLIN_00215	2
gene:ECOLIN_00220	33
gene:ECOLIN_00225	83
gene:ECOLIN_00230	292
gene:ECOLIN_00235	247
gene:ECOLIN_00240	215
gene:ECOLIN_00245	205
gene:ECOLIN_00250	961
gene:ECOLIN_00255	860
gene:ECOLIN_00260	1772
gene:ECOLIN_00265	1775
gene:ECOLIN_00270	5299
gene:ECOLIN_00275	8340
gene:ECOLIN_00280	487
gene:ECOLIN_00285	159
gene:ECOLIN_00290	524
gene:ECOLIN_00295	407
gene:ECOLIN_00300	6
gene:ECOLIN_00305	60
gene:ECOLIN_00310	19
gene:ECOLIN_00315	195
gene:ECOLIN_00320	6
gene:ECOLIN_00325	12
gene:ECOLIN_00330	141
gene:ECOLIN_00335	202
gene:ECOLIN_00340	465
gene:ECOLIN_00345	1405
gene:ECOLIN_00350	335
gene:ECOLIN_00355	212
gene:ECOLIN_00360	1656
gene:ECOLIN_00365	3721
gene:ECOLIN_00370	2612
gene:ECOLIN_00375	2846
gene:ECOLIN_00380	225
gene:ECOLIN_00385	5564
gene:ECOLIN_00390	1462
gene:ECOLIN_00395	1725
gene:ECOLIN_00400	931
gene:ECOLIN_00405	1272
gene:ECOLIN_00410	269
gene:ECOLIN_00415	1301
gene:ECOLIN_00420	1779
gene:ECOLIN_00425	1829
gene:ECOLIN_00430	1246
gene:ECOLIN_00435	1281
gene:ECOLIN_00440	1488
gene:ECOLIN_00445	1276
gene:ECOLIN_00450	2188
gene:ECOLIN_00455	1685
gene:ECOLIN_00460	1230
gene:ECOLIN_00465	2048
gene:ECOLIN_00470	8185
gene:ECOLIN_00475	13466
gene:ECOLIN_00480	1237
gene:ECOLIN_00485	8106
gene:ECOLIN_00490	87
gene:ECOLIN_00495	68
gene:ECOLIN_00500	64
gene:ECOLIN_00505	218
gene:ECOLIN_00510	197
gene:ECOLIN_00515	655
gene:ECOLIN_00520	491
gene:ECOLIN_00525	1856
gene:ECOLIN_00530	35
gene:ECOLIN_00535	38
gene:ECOLIN_00540	5
gene:ECOLIN_00545	971
gene:ECOLIN_00550	409
gene:ECOLIN_00555	548
gene:ECOLIN_00560	7082
gene:ECOLIN_00565	192
gene:ECOLIN_00570	166
gene:ECOLIN_00580	169
gene:ECOLIN_00585	369
gene:ECOLIN_00590	1617
gene:ECOLIN_00595	3371
gene:ECOLIN_00600	45600
gene:ECOLIN_00610	12587
gene:ECOLIN_00615	203
gene:ECOLIN_00620	7543
gene:ECOLIN_00625	149
gene:ECOLIN_00630	1783
gene:ECOLIN_00635	1701
gene:ECOLIN_00640	668
gene:ECOLIN_00645	347
gene:ECOLIN_00650	1026
gene:ECOLIN_00655	856
gene:ECOLIN_00660	2393
gene:ECOLIN_00665	625
gene:ECOLIN_00670	488
gene:ECOLIN_00675	189
gene:ECOLIN_00680	203
gene:ECOLIN_00685	2152
gene:ECOLIN_00690	90
gene:ECOLIN_00695	203
gene:ECOLIN_00705	2170
gene:ECOLIN_00710	1216
gene:ECOLIN_00715	52
gene:ECOLIN_00720	39
gene:ECOLIN_00725	30
