Geneid	SRR11357510
gene:ECOLIN_00010	5733
gene:ECOLIN_00015	1963
gene:ECOLIN_00020	2477
gene:ECOLIN_00025	122
gene:ECOLIN_00030	738
gene:ECOLIN_00035	153
gene:ECOLIN_00040	8947
gene:ECOLIN_00045	336
gene:ECOLIN_00050	212
gene:ECOLIN_00055	20
gene:ECOLIN_00060	20
gene:ECOLIN_00065	15443
gene:ECOLIN_00070	3595
gene:ECOLIN_00075	947
gene:ECOLIN_00080	6
gene:ECOLIN_00085	97
gene:ECOLIN_00090	117
gene:ECOLIN_00095	570
gene:ECOLIN_00100	440
gene:ECOLIN_00105	9351
gene:ECOLIN_00110	3226
gene:ECOLIN_00115	14613
gene:ECOLIN_00120	1125
gene:ECOLIN_00125	1061
gene:ECOLIN_00130	1353
gene:ECOLIN_00135	113
gene:ECOLIN_00140	21
gene:ECOLIN_00145	2309
gene:ECOLIN_00155	3544
gene:ECOLIN_00160	5396
gene:ECOLIN_00165	91
gene:ECOLIN_00170	42
gene:ECOLIN_00175	23
gene:ECOLIN_00180	366
gene:ECOLIN_00185	134
gene:ECOLIN_00190	281
gene:ECOLIN_00195	13
gene:ECOLIN_00200	16
gene:ECOLIN_00205	37
gene:ECOLIN_00210	25
gene:ECOLIN_00215	2
gene:ECOLIN_00220	40
gene:ECOLIN_00225	70
gene:ECOLIN_00230	358
gene:ECOLIN_00235	508
gene:ECOLIN_00240	255
gene:ECOLIN_00245	225
gene:ECOLIN_00250	1080
gene:ECOLIN_00255	849
gene:ECOLIN_00260	1758
gene:ECOLIN_00265	1755
gene:ECOLIN_00270	6246
gene:ECOLIN_00275	9441
gene:ECOLIN_00280	610
gene:ECOLIN_00285	221
gene:ECOLIN_00290	1085
gene:ECOLIN_00295	377
gene:ECOLIN_00300	9
gene:ECOLIN_00305	69
gene:ECOLIN_00310	22
gene:ECOLIN_00315	190
gene:ECOLIN_00320	0
gene:ECOLIN_00325	5
gene:ECOLIN_00330	198
gene:ECOLIN_00335	261
gene:ECOLIN_00340	633
gene:ECOLIN_00345	1814
gene:ECOLIN_00350	265
gene:ECOLIN_00355	299
gene:ECOLIN_00360	1553
gene:ECOLIN_00365	3065
gene:ECOLIN_00370	2389
gene:ECOLIN_00375	4890
gene:ECOLIN_00380	178
gene:ECOLIN_00385	5413
gene:ECOLIN_00390	1456
gene:ECOLIN_00395	1791
gene:ECOLIN_00400	966
gene:ECOLIN_00405	1502
gene:ECOLIN_00410	276
gene:ECOLIN_00415	1556
gene:ECOLIN_00420	1963
gene:ECOLIN_00425	2091
gene:ECOLIN_00430	1212
gene:ECOLIN_00435	1377
gene:ECOLIN_00440	1660
gene:ECOLIN_00445	1492
gene:ECOLIN_00450	2503
gene:ECOLIN_00455	1691
gene:ECOLIN_00460	1301
gene:ECOLIN_00465	2067
gene:ECOLIN_00470	8702
gene:ECOLIN_00475	15233
gene:ECOLIN_00480	1372
gene:ECOLIN_00485	9555
gene:ECOLIN_00490	65
gene:ECOLIN_00495	54
gene:ECOLIN_00500	36
gene:ECOLIN_00505	215
gene:ECOLIN_00510	238
gene:ECOLIN_00515	689
gene:ECOLIN_00520	496
gene:ECOLIN_00525	1927
gene:ECOLIN_00530	95
gene:ECOLIN_00535	51
gene:ECOLIN_00540	8
gene:ECOLIN_00545	1004
gene:ECOLIN_00550	322
gene:ECOLIN_00555	426
gene:ECOLIN_00560	5191
gene:ECOLIN_00565	162
gene:ECOLIN_00570	154
gene:ECOLIN_00580	176
gene:ECOLIN_00585	349
gene:ECOLIN_00590	1399
gene:ECOLIN_00595	7447
gene:ECOLIN_00600	47719
gene:ECOLIN_00610	16725
gene:ECOLIN_00615	221
gene:ECOLIN_00620	15113
gene:ECOLIN_00625	128
gene:ECOLIN_00630	2033
gene:ECOLIN_00635	2146
gene:ECOLIN_00640	712
gene:ECOLIN_00645	403
gene:ECOLIN_00650	1716
gene:ECOLIN_00655	917
gene:ECOLIN_00660	3101
gene:ECOLIN_00665	692
gene:ECOLIN_00670	492
gene:ECOLIN_00675	205
gene:ECOLIN_00680	268
gene:ECOLIN_00685	2616
gene:ECOLIN_00690	80
gene:ECOLIN_00695	159
gene:ECOLIN_00705	1731
gene:ECOLIN_00710	1357
gene:ECOLIN_00715	63
gene:ECOLIN_00720	41
gene:ECOLIN_00725	28
gene:ECOLIN_00730	177
gene:ECOLIN_00735	21
gene:ECOLIN_00740	89
gene:ECOLIN_00745	343
gene:ECOLIN_00750	4474
gene:ECOLIN_00755	455
gene:ECOLIN_00760	25
gene:ECOLIN_00765	2
gene:ECOLIN_00770	1
gene:ECOLIN_00775	29
gene:ECOLIN_00780	1
gene:ECOLIN_00785	1
gene:ECOLIN_00790	732
gene:ECOLIN_00795	3833
gene:ECOLIN_00805	15294
gene:ECOLIN_00810	1845
gene:ECOLIN_00815	1557
gene:ECOLIN_00820	1570
gene:ECOLIN_00825	2269
gene:ECOLIN_00830	645
gene:ECOLIN_00835	1041
gene:ECOLIN_00840	221
gene:ECOLIN_00845	398
gene:ECOLIN_00850	1167
gene:ECOLIN_00855	734
gene:ECOLIN_00860	1464
gene:ECOLIN_00865	175
gene:ECOLIN_00870	1587
gene:ECOLIN_00875	9742
gene:ECOLIN_00880	1538
gene:ECOLIN_00885	2735
gene:ECOLIN_00890	22065
gene:ECOLIN_00895	10582
gene:ECOLIN_00900	2058
gene:ECOLIN_00905	4886
gene:ECOLIN_00915	2794
gene:ECOLIN_00920	1707
gene:ECOLIN_00925	4671
gene:ECOLIN_00930	15865
gene:ECOLIN_00935	7580
gene:ECOLIN_00940	10300
gene:ECOLIN_00945	3139
gene:ECOLIN_00950	3017
gene:ECOLIN_00955	2297
gene:ECOLIN_00960	755
gene:ECOLIN_00965	4594
gene:ECOLIN_00970	3274
gene:ECOLIN_00975	658
gene:ECOLIN_00980	149
gene:ECOLIN_00985	558
gene:ECOLIN_00990	226
gene:ECOLIN_00995	214
gene:ECOLIN_01000	377
gene:ECOLIN_01005	279
gene:ECOLIN_01010	390
gene:ECOLIN_01015	184
gene:ECOLIN_01020	28
gene:ECOLIN_01025	61
gene:ECOLIN_01030	143
gene:ECOLIN_01035	6451
gene:ECOLIN_01040	685
gene:ECOLIN_01045	1181
gene:ECOLIN_01050	15294
gene:ECOLIN_01055	5139
gene:ECOLIN_01060	3711
gene:ECOLIN_01065	2
gene:ECOLIN_01070	12
gene:ECOLIN_01075	0
gene:ECOLIN_01080	0
gene:ECOLIN_01085	5441
gene:ECOLIN_01090	4
gene:ECOLIN_01095	18
gene:ECOLIN_01100	35
gene:ECOLIN_01105	119
gene:ECOLIN_01110	1197
gene:ECOLIN_01115	316
gene:ECOLIN_01120	3503
gene:ECOLIN_01125	744
gene:ECOLIN_01130	418
gene:ECOLIN_01135	437
gene:ECOLIN_01140	1240
gene:ECOLIN_01145	93
gene:ECOLIN_01155	25
gene:ECOLIN_01160	34
gene:ECOLIN_01170	1647
gene:ECOLIN_01175	28
gene:ECOLIN_01180	70
gene:ECOLIN_01190	25
gene:ECOLIN_01195	18
gene:ECOLIN_01200	0
gene:ECOLIN_01205	3
gene:ECOLIN_01210	73
gene:ECOLIN_01215	0
gene:ECOLIN_01220	8
gene:ECOLIN_01225	18
gene:ECOLIN_01230	69
gene:ECOLIN_01235	8
gene:ECOLIN_01240	0
gene:ECOLIN_01245	1
gene:ECOLIN_01255	0
gene:ECOLIN_01260	0
