Geneid	SRR11357515
gene:ECOLIN_00010	5815
gene:ECOLIN_00015	1965
gene:ECOLIN_00020	2440
gene:ECOLIN_00025	123
gene:ECOLIN_00030	727
gene:ECOLIN_00035	242
gene:ECOLIN_00040	8498
gene:ECOLIN_00045	322
gene:ECOLIN_00050	169
gene:ECOLIN_00055	24
gene:ECOLIN_00060	11
gene:ECOLIN_00065	7272
gene:ECOLIN_00070	1294
gene:ECOLIN_00075	548
gene:ECOLIN_00080	8
gene:ECOLIN_00085	43
gene:ECOLIN_00090	96
gene:ECOLIN_00095	737
gene:ECOLIN_00100	293
gene:ECOLIN_00105	5933
gene:ECOLIN_00110	3009
gene:ECOLIN_00115	11564
gene:ECOLIN_00120	1019
gene:ECOLIN_00125	846
gene:ECOLIN_00130	951
gene:ECOLIN_00135	150
gene:ECOLIN_00140	52
gene:ECOLIN_00145	1251
gene:ECOLIN_00155	2560
gene:ECOLIN_00160	5012
gene:ECOLIN_00165	180
gene:ECOLIN_00170	37
gene:ECOLIN_00175	28
gene:ECOLIN_00180	330
gene:ECOLIN_00185	89
gene:ECOLIN_00190	172
gene:ECOLIN_00195	24
gene:ECOLIN_00200	13
gene:ECOLIN_00205	16
gene:ECOLIN_00210	34
gene:ECOLIN_00215	3
gene:ECOLIN_00220	23
gene:ECOLIN_00225	95
gene:ECOLIN_00230	340
gene:ECOLIN_00235	339
gene:ECOLIN_00240	233
gene:ECOLIN_00245	214
gene:ECOLIN_00250	980
gene:ECOLIN_00255	857
gene:ECOLIN_00260	1705
gene:ECOLIN_00265	1681
gene:ECOLIN_00270	5059
gene:ECOLIN_00275	7910
gene:ECOLIN_00280	472
gene:ECOLIN_00285	150
gene:ECOLIN_00290	497
gene:ECOLIN_00295	383
gene:ECOLIN_00300	4
gene:ECOLIN_00305	50
gene:ECOLIN_00310	29
gene:ECOLIN_00315	148
gene:ECOLIN_00320	3
gene:ECOLIN_00325	0
gene:ECOLIN_00330	172
gene:ECOLIN_00335	185
gene:ECOLIN_00340	458
gene:ECOLIN_00345	1607
gene:ECOLIN_00350	236
gene:ECOLIN_00355	377
gene:ECOLIN_00360	670
gene:ECOLIN_00365	1236
gene:ECOLIN_00370	933
gene:ECOLIN_00375	1268
gene:ECOLIN_00380	230
gene:ECOLIN_00385	3854
gene:ECOLIN_00390	1111
gene:ECOLIN_00395	1438
gene:ECOLIN_00400	781
gene:ECOLIN_00405	1294
gene:ECOLIN_00410	219
gene:ECOLIN_00415	1392
gene:ECOLIN_00420	1627
gene:ECOLIN_00425	1615
gene:ECOLIN_00430	982
gene:ECOLIN_00435	1160
gene:ECOLIN_00440	1078
gene:ECOLIN_00445	947
gene:ECOLIN_00450	1944
gene:ECOLIN_00455	1370
gene:ECOLIN_00460	1061
gene:ECOLIN_00465	1932
gene:ECOLIN_00470	7286
gene:ECOLIN_00475	12707
gene:ECOLIN_00480	1139
gene:ECOLIN_00485	6485
gene:ECOLIN_00490	70
gene:ECOLIN_00495	69
gene:ECOLIN_00500	49
gene:ECOLIN_00505	209
gene:ECOLIN_00510	200
gene:ECOLIN_00515	621
gene:ECOLIN_00520	521
gene:ECOLIN_00525	1940
gene:ECOLIN_00530	50
gene:ECOLIN_00535	51
gene:ECOLIN_00540	7
gene:ECOLIN_00545	1104
gene:ECOLIN_00550	328
gene:ECOLIN_00555	458
gene:ECOLIN_00560	5077
gene:ECOLIN_00565	166
gene:ECOLIN_00570	116
gene:ECOLIN_00580	129
gene:ECOLIN_00585	229
gene:ECOLIN_00590	1235
gene:ECOLIN_00595	2554
gene:ECOLIN_00600	27878
gene:ECOLIN_00610	7296
gene:ECOLIN_00615	232
gene:ECOLIN_00620	5640
gene:ECOLIN_00625	124
gene:ECOLIN_00630	1148
gene:ECOLIN_00635	1106
gene:ECOLIN_00640	656
gene:ECOLIN_00645	1163
gene:ECOLIN_00650	845
gene:ECOLIN_00655	749
gene:ECOLIN_00660	2690
gene:ECOLIN_00665	555
gene:ECOLIN_00670	430
gene:ECOLIN_00675	149
gene:ECOLIN_00680	191
gene:ECOLIN_00685	2171
gene:ECOLIN_00690	102
gene:ECOLIN_00695	128
gene:ECOLIN_00705	2397
gene:ECOLIN_00710	1073
gene:ECOLIN_00715	34
gene:ECOLIN_00720	41
gene:ECOLIN_00725	32
gene:ECOLIN_00730	191
gene:ECOLIN_00735	14
gene:ECOLIN_00740	30
gene:ECOLIN_00745	237
gene:ECOLIN_00750	2732
gene:ECOLIN_00755	258
gene:ECOLIN_00760	24
gene:ECOLIN_00765	25
gene:ECOLIN_00770	0
gene:ECOLIN_00775	27
gene:ECOLIN_00780	9
gene:ECOLIN_00785	4
gene:ECOLIN_00790	560
gene:ECOLIN_00795	2620
gene:ECOLIN_00805	11873
gene:ECOLIN_00810	1309
gene:ECOLIN_00815	1173
gene:ECOLIN_00820	1272
gene:ECOLIN_00825	2042
gene:ECOLIN_00830	616
gene:ECOLIN_00835	761
gene:ECOLIN_00840	142
gene:ECOLIN_00845	297
gene:ECOLIN_00850	1157
gene:ECOLIN_00855	804
gene:ECOLIN_00860	1852
gene:ECOLIN_00865	152
gene:ECOLIN_00870	1841
gene:ECOLIN_00875	9583
gene:ECOLIN_00880	1495
gene:ECOLIN_00885	2276
gene:ECOLIN_00890	15647
gene:ECOLIN_00895	7993
gene:ECOLIN_00900	1994
gene:ECOLIN_00905	5295
gene:ECOLIN_00915	1708
gene:ECOLIN_00920	1196
gene:ECOLIN_00925	3328
gene:ECOLIN_00930	13444
gene:ECOLIN_00935	8780
gene:ECOLIN_00940	8201
gene:ECOLIN_00945	2536
gene:ECOLIN_00950	2252
gene:ECOLIN_00955	1522
gene:ECOLIN_00960	488
gene:ECOLIN_00965	3680
gene:ECOLIN_00970	2386
gene:ECOLIN_00975	431
gene:ECOLIN_00980	100
gene:ECOLIN_00985	513
gene:ECOLIN_00990	236
gene:ECOLIN_00995	307
gene:ECOLIN_01000	312
gene:ECOLIN_01005	258
gene:ECOLIN_01010	328
gene:ECOLIN_01015	177
gene:ECOLIN_01020	44
gene:ECOLIN_01025	70
gene:ECOLIN_01030	78
gene:ECOLIN_01035	5114
gene:ECOLIN_01040	508
gene:ECOLIN_01045	1273
gene:ECOLIN_01050	11197
gene:ECOLIN_01055	2863
gene:ECOLIN_01060	1829
gene:ECOLIN_01065	2
gene:ECOLIN_01070	22
gene:ECOLIN_01075	0
gene:ECOLIN_01080	0
gene:ECOLIN_01085	4725
gene:ECOLIN_01090	4
gene:ECOLIN_01095	23
gene:ECOLIN_01100	38
gene:ECOLIN_01105	137
gene:ECOLIN_01110	1516
gene:ECOLIN_01115	236
gene:ECOLIN_01120	2503
gene:ECOLIN_01125	700
gene:ECOLIN_01130	416
gene:ECOLIN_01135	368
gene:ECOLIN_01140	970
gene:ECOLIN_01145	91
gene:ECOLIN_01155	25
gene:ECOLIN_01160	28
gene:ECOLIN_01170	1582
gene:ECOLIN_01175	10
gene:ECOLIN_01180	64
gene:ECOLIN_01190	9
gene:ECOLIN_01195	24
gene:ECOLIN_01200	1
gene:ECOLIN_01205	9
gene:ECOLIN_01210	77
gene:ECOLIN_01215	0
gene:ECOLIN_01220	4
gene:ECOLIN_01225	4
gene:ECOLIN_01230	78
gene:ECOLIN_01235	7
gene:ECOLIN_01240	0
gene:ECOLIN_01245	1
gene:ECOLIN_01255	0
gene:ECOLIN_01260	0
gene:ECOLIN_01265	0
gene:ECOLIN_01270	0
gene:ECOLIN_01275	0
gene:ECOLIN_01280	0
gene:ECOLIN_01285	0
gene:ECOLIN_01290	2
gene:ECOLIN_01295	0
gene:ECOLIN_01300	6
gene:ECOLIN_01305	2
gene:ECOLIN_01310	0
gene:ECOLIN_01315	17
gene:ECOLIN_01320	2
gene:ECOLIN_01325	13
gene:ECOLIN_01330	10
gene:ECOLIN_01340	0
gene:ECOLIN_01345	1
gene:ECOLIN_01350	4
gene:ECOLIN_01355	1
gene:ECOLIN_01360	3
gene:ECOLIN_01375	4
gene:ECOLIN_01380	3
gene:ECOLIN_01385	8
gene:ECOLIN_01395	0
gene:ECOLIN_01400	4
gene:ECOLIN_01405	3
gene:ECOLIN_01410	2
gene:ECOLIN_01415	9
gene:ECOLIN_01420	166
gene:ECOLIN_01425	17
gene:ECOLIN_01430	1152
gene:ECOLIN_01435	219
gene:ECOLIN_01440	149
gene:ECOLIN_01445	398
gene:ECOLIN_01450	21
gene:ECOLIN_01455	64
gene:ECOLIN_01460	51
gene:ECOLIN_01465	177
gene:ECOLIN_01470	4
gene:ECOLIN_01475	32
gene:ECOLIN_01485	314
gene:ECOLIN_01490	22
gene:ECOLIN_01495	84
gene:ECOLIN_01500	47
gene:ECOLIN_01505	93
gene:ECOLIN_01510	25
gene:ECOLIN_01520	163
gene:ECOLIN_01525	30
gene:ECOLIN_01530	11
gene:ECOLIN_01535	17
gene:ECOLIN_01540	1
gene:ECOLIN_01545	130
gene:ECOLIN_01550	22
gene:ECOLIN_01555	156
gene:ECOLIN_01560	506
gene:ECOLIN_01565	177
gene:ECOLIN_01570	448
gene:ECOLIN_01575	68
gene:ECOLIN_01580	120
gene:ECOLIN_01585	586
gene:ECOLIN_01595	204
gene:ECOLIN_01605	1086
gene:ECOLIN_01610	7
gene:ECOLIN_01620	1
gene:ECOLIN_01625	61
gene:ECOLIN_01635	1041
gene:ECOLIN_01640	36
gene:ECOLIN_01645	68
gene:ECOLIN_01650	149
gene:ECOLIN_01655	326
gene:ECOLIN_01660	198
gene:ECOLIN_01670	3
gene:ECOLIN_01675	20
gene:ECOLIN_01685	657
gene:ECOLIN_01690	718
gene:ECOLIN_01695	92
gene:ECOLIN_01700	1254
gene:ECOLIN_01705	630
gene:ECOLIN_01710	2441
gene:ECOLIN_01715	28
gene:ECOLIN_01720	39
gene:ECOLIN_01725	6
gene:ECOLIN_01730	105
gene:ECOLIN_01735	38
gene:ECOLIN_01740	44
gene:ECOLIN_01745	93
gene:ECOLIN_01750	5788
gene:ECOLIN_01755	1497
gene:ECOLIN_01760	1119
gene:ECOLIN_01765	677
gene:ECOLIN_01770	39
gene:ECOLIN_01775	1725
gene:ECOLIN_01780	1810
gene:ECOLIN_01785	62
gene:ECOLIN_01790	30
gene:ECOLIN_01795	22
gene:ECOLIN_01800	1257
gene:ECOLIN_01810	35
gene:ECOLIN_01815	7378
gene:ECOLIN_01825	254
gene:ECOLIN_01830	532
gene:ECOLIN_01835	1692
gene:ECOLIN_01840	1118
gene:ECOLIN_01845	3706
gene:ECOLIN_01850	1243
gene:ECOLIN_01855	1026
gene:ECOLIN_01860	3691
gene:ECOLIN_01865	10
gene:ECOLIN_01875	692
gene:ECOLIN_01880	368
gene:ECOLIN_01885	388
gene:ECOLIN_01890	2
gene:ECOLIN_01895	59
gene:ECOLIN_01900	184
gene:ECOLIN_01905	135
gene:ECOLIN_01910	597
gene:ECOLIN_01915	18
gene:ECOLIN_01920	6
gene:ECOLIN_01925	130
gene:ECOLIN_01930	50
gene:ECOLIN_01935	69
gene:ECOLIN_01940	162
gene:ECOLIN_01945	47
gene:ECOLIN_01950	8
gene:ECOLIN_01955	147
gene:ECOLIN_01960	12
gene:ECOLIN_01965	25
gene:ECOLIN_01970	51
gene:ECOLIN_01975	83
gene:ECOLIN_01980	1194
gene:ECOLIN_01985	1103
gene:ECOLIN_01990	478
gene:ECOLIN_01995	397
gene:ECOLIN_02000	834
gene:ECOLIN_02005	100
gene:ECOLIN_02010	7
gene:ECOLIN_02015	69
gene:ECOLIN_02020	14
gene:ECOLIN_02025	54
gene:ECOLIN_02035	0
gene:ECOLIN_02040	0
gene:ECOLIN_02045	0
gene:ECOLIN_02050	9
gene:ECOLIN_02055	133
gene:ECOLIN_02060	355
gene:ECOLIN_02065	35
gene:ECOLIN_02070	554
gene:ECOLIN_02075	31
gene:ECOLIN_02080	13
gene:ECOLIN_02085	24
gene:ECOLIN_02090	40
gene:ECOLIN_02095	61
gene:ECOLIN_02100	166
gene:ECOLIN_02105	638
gene:ECOLIN_02110	339
gene:ECOLIN_02115	343
gene:ECOLIN_02120	1922
gene:ECOLIN_02130	376
gene:ECOLIN_02135	230
gene:ECOLIN_02140	428
gene:ECOLIN_02145	107
gene:ECOLIN_02150	29
gene:ECOLIN_02155	0
gene:ECOLIN_02160	1
gene:ECOLIN_02165	3
gene:ECOLIN_02170	8
gene:ECOLIN_02175	9
gene:ECOLIN_02180	0
gene:ECOLIN_02185	136
gene:ECOLIN_02190	112
gene:ECOLIN_02195	50
gene:ECOLIN_02200	123
gene:ECOLIN_02205	1583
gene:ECOLIN_02210	1078
gene:ECOLIN_02215	13
gene:ECOLIN_02220	448
gene:ECOLIN_02225	321
gene:ECOLIN_02230	437
gene:ECOLIN_02235	81
gene:ECOLIN_02240	61
gene:ECOLIN_02245	1195
gene:ECOLIN_02250	646
gene:ECOLIN_02255	370
gene:ECOLIN_02260	104
gene:ECOLIN_02265	48
gene:ECOLIN_02270	488
gene:ECOLIN_02275	307
gene:ECOLIN_02280	2710
gene:ECOLIN_02285	720
gene:ECOLIN_02290	233
gene:ECOLIN_02295	765
gene:ECOLIN_02300	220
gene:ECOLIN_02305	613
gene:ECOLIN_02310	203
gene:ECOLIN_02315	344
gene:ECOLIN_02320	756
gene:ECOLIN_02325	341
gene:ECOLIN_02330	255
gene:ECOLIN_02335	305
gene:ECOLIN_02340	3378
gene:ECOLIN_02345	941
gene:ECOLIN_02350	305
gene:ECOLIN_02355	210
gene:ECOLIN_02360	266
gene:ECOLIN_02365	294
gene:ECOLIN_02370	89
gene:ECOLIN_02375	150
gene:ECOLIN_02380	173
gene:ECOLIN_02385	244
gene:ECOLIN_02390	20
gene:ECOLIN_02395	324
gene:ECOLIN_02400	1591
gene:ECOLIN_02405	968
gene:ECOLIN_02410	1224
gene:ECOLIN_02415	30
gene:ECOLIN_02420	488
gene:ECOLIN_02425	902
gene:ECOLIN_02430	1622
gene:ECOLIN_02435	1639
gene:ECOLIN_02440	208
gene:ECOLIN_02445	180
gene:ECOLIN_02450	703
gene:ECOLIN_02455	1300
gene:ECOLIN_02460	786
gene:ECOLIN_02465	367
gene:ECOLIN_02470	862
gene:ECOLIN_02475	389
gene:ECOLIN_02480	531
gene:ECOLIN_02485	1354
gene:ECOLIN_02490	226
gene:ECOLIN_02495	1367
gene:ECOLIN_02500	573
gene:ECOLIN_02505	913
gene:ECOLIN_02510	4671
gene:ECOLIN_02515	3183
gene:ECOLIN_02520	459
gene:ECOLIN_02525	928
gene:ECOLIN_02530	675
gene:ECOLIN_02535	165
gene:ECOLIN_02540	8713
gene:ECOLIN_02545	2939
gene:ECOLIN_02550	5284
gene:ECOLIN_02555	4842
gene:ECOLIN_02560	7229
gene:ECOLIN_02565	5022
gene:ECOLIN_02570	64
gene:ECOLIN_02575	65
gene:ECOLIN_02580	562
gene:ECOLIN_02585	173
gene:ECOLIN_02590	345
gene:ECOLIN_02595	2
gene:ECOLIN_02600	16
gene:ECOLIN_02605	298
gene:ECOLIN_02610	290
gene:ECOLIN_02620	179
gene:ECOLIN_02625	809
gene:ECOLIN_02630	312
gene:ECOLIN_02635	295
gene:ECOLIN_02640	341
gene:ECOLIN_02645	84
gene:ECOLIN_02650	406
gene:ECOLIN_02655	158
gene:ECOLIN_02660	490
gene:ECOLIN_02665	986
gene:ECOLIN_02670	611
gene:ECOLIN_02675	6125
gene:ECOLIN_02680	2839
gene:ECOLIN_02685	695
gene:ECOLIN_02690	1662
gene:ECOLIN_02700	262
gene:ECOLIN_02705	756
gene:ECOLIN_02710	1179
gene:ECOLIN_02715	1442
gene:ECOLIN_02720	898
gene:ECOLIN_02725	823
gene:ECOLIN_02730	1644
gene:ECOLIN_02735	2793
gene:ECOLIN_02740	339
gene:ECOLIN_02745	49
gene:ECOLIN_02750	676
gene:ECOLIN_02755	328
gene:ECOLIN_02760	67
gene:ECOLIN_02765	652
gene:ECOLIN_02770	261
gene:ECOLIN_02775	544
gene:ECOLIN_02780	221
gene:ECOLIN_02785	18491
gene:ECOLIN_02790	167
gene:ECOLIN_02795	251
gene:ECOLIN_02800	250
gene:ECOLIN_02805	283
gene:ECOLIN_02810	174
gene:ECOLIN_02815	343
gene:ECOLIN_02820	163
gene:ECOLIN_02830	1526
gene:ECOLIN_02835	473
gene:ECOLIN_02840	478
gene:ECOLIN_02845	119
gene:ECOLIN_02850	326
gene:ECOLIN_02860	16
gene:ECOLIN_02865	12
gene:ECOLIN_02870	1530
gene:ECOLIN_02875	130
gene:ECOLIN_02880	28
gene:ECOLIN_02885	40
gene:ECOLIN_02890	38
gene:ECOLIN_02895	75
gene:ECOLIN_02900	37
gene:ECOLIN_02905	49
gene:ECOLIN_02910	234
gene:ECOLIN_02915	133
gene:ECOLIN_02920	23
gene:ECOLIN_02925	12
gene:ECOLIN_02930	32
gene:ECOLIN_02935	10
gene:ECOLIN_02940	91
gene:ECOLIN_02945	2449
gene:ECOLIN_02950	1414
gene:ECOLIN_02955	41
gene:ECOLIN_02960	388
gene:ECOLIN_02965	3518
gene:ECOLIN_02970	1509
gene:ECOLIN_02980	381
gene:ECOLIN_02985	2274
gene:ECOLIN_02990	12
gene:ECOLIN_02995	6
gene:ECOLIN_03000	22
gene:ECOLIN_03005	9
gene:ECOLIN_03010	55
gene:ECOLIN_03015	629
gene:ECOLIN_03020	2428
gene:ECOLIN_03025	117
gene:ECOLIN_03030	238
gene:ECOLIN_03035	121
gene:ECOLIN_03040	225
gene:ECOLIN_03045	122
gene:ECOLIN_03050	88
gene:ECOLIN_03055	393
gene:ECOLIN_03060	485
gene:ECOLIN_03065	918
gene:ECOLIN_03070	623
gene:ECOLIN_03075	764
gene:ECOLIN_03080	1301
gene:ECOLIN_03085	280
gene:ECOLIN_03090	103
gene:ECOLIN_03095	160
gene:ECOLIN_03100	302
gene:ECOLIN_03105	2525
gene:ECOLIN_03110	37422
gene:ECOLIN_03115	4390
gene:ECOLIN_03120	1092
gene:ECOLIN_03125	24439
gene:ECOLIN_03130	4934
gene:ECOLIN_03135	1026
gene:ECOLIN_03140	688
gene:ECOLIN_03145	1140
gene:ECOLIN_03150	550
gene:ECOLIN_03155	2002
gene:ECOLIN_03160	4278
gene:ECOLIN_03165	4832
gene:ECOLIN_03170	3501
gene:ECOLIN_03175	2018
gene:ECOLIN_03180	1516
gene:ECOLIN_03185	1634
gene:ECOLIN_03190	141
gene:ECOLIN_03195	574
gene:ECOLIN_03200	577
gene:ECOLIN_03205	63
gene:ECOLIN_03210	48
