Geneid	SRR11357512
gene:ECOLIN_00010	1089
gene:ECOLIN_00015	532
gene:ECOLIN_00020	537
gene:ECOLIN_00025	117
gene:ECOLIN_00030	281
gene:ECOLIN_00035	259
gene:ECOLIN_00040	8651
gene:ECOLIN_00045	697
gene:ECOLIN_00050	394
gene:ECOLIN_00055	61
gene:ECOLIN_00060	29
gene:ECOLIN_00065	654953
gene:ECOLIN_00070	32081
gene:ECOLIN_00075	7772
gene:ECOLIN_00080	65
gene:ECOLIN_00085	120
gene:ECOLIN_00090	178
gene:ECOLIN_00095	2605
gene:ECOLIN_00100	414
gene:ECOLIN_00105	171
gene:ECOLIN_00110	1922
gene:ECOLIN_00115	14914
gene:ECOLIN_00120	963
gene:ECOLIN_00125	748
gene:ECOLIN_00130	653
gene:ECOLIN_00135	43
gene:ECOLIN_00140	20
gene:ECOLIN_00145	1066
gene:ECOLIN_00155	93
gene:ECOLIN_00160	400
gene:ECOLIN_00165	407
gene:ECOLIN_00170	55
gene:ECOLIN_00175	14
gene:ECOLIN_00180	371
gene:ECOLIN_00185	309
gene:ECOLIN_00190	554
gene:ECOLIN_00195	4
gene:ECOLIN_00200	17
gene:ECOLIN_00205	53
gene:ECOLIN_00210	21
gene:ECOLIN_00215	3
gene:ECOLIN_00220	71
gene:ECOLIN_00225	196
gene:ECOLIN_00230	364
gene:ECOLIN_00235	312
gene:ECOLIN_00240	578
gene:ECOLIN_00245	284
gene:ECOLIN_00250	379
gene:ECOLIN_00255	447
gene:ECOLIN_00260	701
gene:ECOLIN_00265	236
gene:ECOLIN_00270	1413
gene:ECOLIN_00275	2971
gene:ECOLIN_00280	308
gene:ECOLIN_00285	723
gene:ECOLIN_00290	3650
gene:ECOLIN_00295	2989
gene:ECOLIN_00300	25
gene:ECOLIN_00305	80
gene:ECOLIN_00310	79
gene:ECOLIN_00315	110
gene:ECOLIN_00320	2
gene:ECOLIN_00325	46
gene:ECOLIN_00330	343
gene:ECOLIN_00335	50
gene:ECOLIN_00340	51
gene:ECOLIN_00345	376
gene:ECOLIN_00350	310
gene:ECOLIN_00355	820
gene:ECOLIN_00360	130
gene:ECOLIN_00365	277
gene:ECOLIN_00370	226
