Geneid	SRR11357513
gene:ECOLIN_00010	1047
gene:ECOLIN_00015	445
gene:ECOLIN_00020	404
gene:ECOLIN_00025	147
gene:ECOLIN_00030	267
gene:ECOLIN_00035	257
gene:ECOLIN_00040	7998
gene:ECOLIN_00045	595
gene:ECOLIN_00050	313
gene:ECOLIN_00055	40
gene:ECOLIN_00060	34
gene:ECOLIN_00065	634455
gene:ECOLIN_00070	31331
gene:ECOLIN_00075	5568
gene:ECOLIN_00080	78
gene:ECOLIN_00085	112
gene:ECOLIN_00090	216
gene:ECOLIN_00095	2275
gene:ECOLIN_00100	378
gene:ECOLIN_00105	135
gene:ECOLIN_00110	1583
gene:ECOLIN_00115	14662
gene:ECOLIN_00120	941
gene:ECOLIN_00125	753
gene:ECOLIN_00130	654
gene:ECOLIN_00135	54
gene:ECOLIN_00140	16
gene:ECOLIN_00145	1034
gene:ECOLIN_00155	72
gene:ECOLIN_00160	340
gene:ECOLIN_00165	414
gene:ECOLIN_00170	61
gene:ECOLIN_00175	26
gene:ECOLIN_00180	356
gene:ECOLIN_00185	288
gene:ECOLIN_00190	521
gene:ECOLIN_00195	10
gene:ECOLIN_00200	13
gene:ECOLIN_00205	23
gene:ECOLIN_00210	11
gene:ECOLIN_00215	2
gene:ECOLIN_00220	42
gene:ECOLIN_00225	133
gene:ECOLIN_00230	316
gene:ECOLIN_00235	302
gene:ECOLIN_00240	503
gene:ECOLIN_00245	257
gene:ECOLIN_00250	297
gene:ECOLIN_00255	385
gene:ECOLIN_00260	623
gene:ECOLIN_00265	253
gene:ECOLIN_00270	1161
gene:ECOLIN_00275	2841
gene:ECOLIN_00280	317
gene:ECOLIN_00285	669
gene:ECOLIN_00290	3359
gene:ECOLIN_00295	2487
gene:ECOLIN_00300	14
gene:ECOLIN_00305	99
gene:ECOLIN_00310	58
gene:ECOLIN_00315	120
gene:ECOLIN_00320	3
gene:ECOLIN_00325	68
gene:ECOLIN_00330	282
gene:ECOLIN_00335	30
gene:ECOLIN_00340	50
gene:ECOLIN_00345	318
gene:ECOLIN_00350	319
gene:ECOLIN_00355	516
gene:ECOLIN_00360	114
gene:ECOLIN_00365	318
gene:ECOLIN_00370	191
gene:ECOLIN_00375	283
gene:ECOLIN_00380	185
gene:ECOLIN_00385	554
gene:ECOLIN_00390	122
gene:ECOLIN_00395	1079
gene:ECOLIN_00400	639
gene:ECOLIN_00405	1278
gene:ECOLIN_00410	186
gene:ECOLIN_00415	902
gene:ECOLIN_00420	186
gene:ECOLIN_00425	190
gene:ECOLIN_00430	155
gene:ECOLIN_00435	202
gene:ECOLIN_00440	204
gene:ECOLIN_00445	213
gene:ECOLIN_00450	497
gene:ECOLIN_00455	523
gene:ECOLIN_00460	514
gene:ECOLIN_00465	919
gene:ECOLIN_00470	2763
gene:ECOLIN_00475	10487
gene:ECOLIN_00480	1357
gene:ECOLIN_00485	4825
gene:ECOLIN_00490	45
gene:ECOLIN_00495	68
gene:ECOLIN_00500	56
gene:ECOLIN_00505	212
gene:ECOLIN_00510	59
gene:ECOLIN_00515	173
gene:ECOLIN_00520	176
gene:ECOLIN_00525	930
gene:ECOLIN_00530	136
gene:ECOLIN_00535	36
gene:ECOLIN_00540	8
gene:ECOLIN_00545	393
gene:ECOLIN_00550	184
gene:ECOLIN_00555	195
gene:ECOLIN_00560	639
gene:ECOLIN_00565	186
gene:ECOLIN_00570	40
gene:ECOLIN_00580	32
gene:ECOLIN_00585	145
gene:ECOLIN_00590	516
gene:ECOLIN_00595	3119
gene:ECOLIN_00600	15049
gene:ECOLIN_00610	8836
gene:ECOLIN_00615	264
gene:ECOLIN_00620	3408
gene:ECOLIN_00625	802
gene:ECOLIN_00630	205
gene:ECOLIN_00635	288
gene:ECOLIN_00640	180
gene:ECOLIN_00645	221
gene:ECOLIN_00650	1480
gene:ECOLIN_00655	108
gene:ECOLIN_00660	1442
gene:ECOLIN_00665	209
gene:ECOLIN_00670	217
gene:ECOLIN_00675	126
gene:ECOLIN_00680	295
gene:ECOLIN_00685	415
gene:ECOLIN_00690	94
gene:ECOLIN_00695	152
gene:ECOLIN_00705	1906
gene:ECOLIN_00710	1688
gene:ECOLIN_00715	21
gene:ECOLIN_00720	19
gene:ECOLIN_00725	40
gene:ECOLIN_00730	320
gene:ECOLIN_00735	15
gene:ECOLIN_00740	0
gene:ECOLIN_00745	8
gene:ECOLIN_00750	470
gene:ECOLIN_00755	126
gene:ECOLIN_00760	20
gene:ECOLIN_00765	20
gene:ECOLIN_00770	0
gene:ECOLIN_00775	16
gene:ECOLIN_00780	12
gene:ECOLIN_00785	0
gene:ECOLIN_00790	327
gene:ECOLIN_00795	1759
gene:ECOLIN_00805	1255
gene:ECOLIN_00810	80
gene:ECOLIN_00815	14
gene:ECOLIN_00820	75
gene:ECOLIN_00825	1305
gene:ECOLIN_00830	903
gene:ECOLIN_00835	2724
gene:ECOLIN_00840	167
gene:ECOLIN_00845	45
gene:ECOLIN_00850	310
gene:ECOLIN_00855	368
gene:ECOLIN_00860	450
gene:ECOLIN_00865	171
gene:ECOLIN_00870	892
gene:ECOLIN_00875	1020
gene:ECOLIN_00880	2134
gene:ECOLIN_00885	1260
gene:ECOLIN_00890	3092
gene:ECOLIN_00895	1255
gene:ECOLIN_00900	558
gene:ECOLIN_00905	2527
gene:ECOLIN_00915	309
gene:ECOLIN_00920	403
gene:ECOLIN_00925	711
gene:ECOLIN_00930	2370
gene:ECOLIN_00935	3412
gene:ECOLIN_00940	3433
gene:ECOLIN_00945	583
gene:ECOLIN_00950	399
gene:ECOLIN_00955	314
gene:ECOLIN_00960	87
gene:ECOLIN_00965	1057
gene:ECOLIN_00970	655
gene:ECOLIN_00975	1107
gene:ECOLIN_00980	175
gene:ECOLIN_00985	504
gene:ECOLIN_00990	923
gene:ECOLIN_00995	869
gene:ECOLIN_01000	192
gene:ECOLIN_01005	291
gene:ECOLIN_01010	464
gene:ECOLIN_01015	210
gene:ECOLIN_01020	69
gene:ECOLIN_01025	88
gene:ECOLIN_01030	108
gene:ECOLIN_01035	611
gene:ECOLIN_01040	160
gene:ECOLIN_01045	473
gene:ECOLIN_01050	774
gene:ECOLIN_01055	390
gene:ECOLIN_01060	181
gene:ECOLIN_01065	3
gene:ECOLIN_01070	19
gene:ECOLIN_01075	0
gene:ECOLIN_01080	0
gene:ECOLIN_01085	31017
gene:ECOLIN_01090	0
gene:ECOLIN_01095	22
gene:ECOLIN_01100	81
gene:ECOLIN_01105	397
gene:ECOLIN_01110	5820
gene:ECOLIN_01115	759
gene:ECOLIN_01120	236
gene:ECOLIN_01125	203
gene:ECOLIN_01130	238
gene:ECOLIN_01135	110
gene:ECOLIN_01140	1112
gene:ECOLIN_01145	68
gene:ECOLIN_01155	32
gene:ECOLIN_01160	41
gene:ECOLIN_01170	2819
gene:ECOLIN_01175	150
gene:ECOLIN_01180	372
gene:ECOLIN_01190	19
gene:ECOLIN_01195	17
gene:ECOLIN_01200	0
gene:ECOLIN_01205	8
gene:ECOLIN_01210	58
gene:ECOLIN_01215	0
gene:ECOLIN_01220	4
gene:ECOLIN_01225	5
gene:ECOLIN_01230	107
gene:ECOLIN_01235	6
gene:ECOLIN_01240	1
gene:ECOLIN_01245	2
gene:ECOLIN_01255	1
gene:ECOLIN_01260	0
gene:ECOLIN_01265	1
gene:ECOLIN_01270	0
gene:ECOLIN_01275	0
gene:ECOLIN_01280	0
gene:ECOLIN_01285	0
gene:ECOLIN_01290	3
gene:ECOLIN_01295	3
gene:ECOLIN_01300	8
gene:ECOLIN_01305	10
gene:ECOLIN_01310	1
gene:ECOLIN_01315	7
gene:ECOLIN_01320	5
gene:ECOLIN_01325	28
gene:ECOLIN_01330	70
gene:ECOLIN_01340	3
gene:ECOLIN_01345	12
gene:ECOLIN_01350	15
gene:ECOLIN_01355	3
gene:ECOLIN_01360	2
gene:ECOLIN_01375	6
gene:ECOLIN_01380	5
gene:ECOLIN_01385	33
gene:ECOLIN_01395	24
gene:ECOLIN_01400	16
gene:ECOLIN_01405	10
gene:ECOLIN_01410	5
gene:ECOLIN_01415	0
gene:ECOLIN_01420	117
gene:ECOLIN_01425	35
gene:ECOLIN_01430	1040
gene:ECOLIN_01435	143
gene:ECOLIN_01440	300
gene:ECOLIN_01445	67
gene:ECOLIN_01450	8
gene:ECOLIN_01455	10
gene:ECOLIN_01460	46
gene:ECOLIN_01465	124
gene:ECOLIN_01470	7
gene:ECOLIN_01475	60
gene:ECOLIN_01485	737
gene:ECOLIN_01490	26
gene:ECOLIN_01495	58
gene:ECOLIN_01500	14
gene:ECOLIN_01505	13
gene:ECOLIN_01510	3
gene:ECOLIN_01520	173
gene:ECOLIN_01525	2
gene:ECOLIN_01530	0
gene:ECOLIN_01535	29
gene:ECOLIN_01540	0
gene:ECOLIN_01545	158
gene:ECOLIN_01550	15
gene:ECOLIN_01555	151
gene:ECOLIN_01560	762
gene:ECOLIN_01565	187
gene:ECOLIN_01570	353
gene:ECOLIN_01575	43
gene:ECOLIN_01580	26
gene:ECOLIN_01585	387
gene:ECOLIN_01595	145
gene:ECOLIN_01605	666
gene:ECOLIN_01610	13
gene:ECOLIN_01620	4
gene:ECOLIN_01625	147
gene:ECOLIN_01635	1162
gene:ECOLIN_01640	155
gene:ECOLIN_01645	158
gene:ECOLIN_01650	234
gene:ECOLIN_01655	271
gene:ECOLIN_01660	158
gene:ECOLIN_01670	6
gene:ECOLIN_01675	15
gene:ECOLIN_01685	481
gene:ECOLIN_01690	2382
gene:ECOLIN_01695	176
gene:ECOLIN_01700	443
gene:ECOLIN_01705	208
gene:ECOLIN_01710	348
gene:ECOLIN_01715	58
gene:ECOLIN_01720	61
gene:ECOLIN_01725	13
gene:ECOLIN_01730	504
gene:ECOLIN_01735	85
gene:ECOLIN_01740	73
gene:ECOLIN_01745	75
gene:ECOLIN_01750	3178
gene:ECOLIN_01755	137
gene:ECOLIN_01760	1789
gene:ECOLIN_01765	668
gene:ECOLIN_01770	90
gene:ECOLIN_01775	1218
gene:ECOLIN_01780	1082
gene:ECOLIN_01785	75
gene:ECOLIN_01790	145
gene:ECOLIN_01795	6
gene:ECOLIN_01800	1790
gene:ECOLIN_01810	33
gene:ECOLIN_01815	689
gene:ECOLIN_01825	116
gene:ECOLIN_01830	291
gene:ECOLIN_01835	397
gene:ECOLIN_01840	52
gene:ECOLIN_01845	178
gene:ECOLIN_01850	212
gene:ECOLIN_01855	35
gene:ECOLIN_01860	56
gene:ECOLIN_01865	27
gene:ECOLIN_01875	1550
gene:ECOLIN_01880	259
gene:ECOLIN_01885	686
gene:ECOLIN_01890	6
gene:ECOLIN_01895	126
gene:ECOLIN_01900	302
gene:ECOLIN_01905	78
gene:ECOLIN_01910	224
gene:ECOLIN_01915	20
gene:ECOLIN_01920	3
gene:ECOLIN_01925	171
gene:ECOLIN_01930	43
gene:ECOLIN_01935	268
