"","accessions","treatment","description"
"1","GSM2078440","rice calli at spaceflight control, biological rep1","Gene expression data from rice calli grow about 324h under spaceflight"
"2","GSM2078441","rice calli at spaceflight control, biological rep2","Gene expression data from rice calli grow about 324h under spaceflight"
"3","GSM2078442","rice calli at spaceflight control, biological rep3","Gene expression data from rice calli grow about 324h under spaceflight"
"4","GSM2078443","rice calli at spaceflight control, biological rep4","Gene expression data from rice calli grow about 324h under spaceflight"
"5","GSM2078447","rice calli at 1g-ground control, biological rep1","Gene expression data from rice calli grow about 324h under 1g-ground controls"
"6","GSM2078448","rice calli at 1g-ground control, biological rep2","Gene expression data from rice calli grow about 324h under 1g-ground controls"
"7","GSM2078449","rice calli at 1g-ground control, biological rep3","Gene expression data from rice calli grow about 324h under 1g-ground controls"
