"","accessions","treatment","description"
"1","GSM1845027","Ground_001","Gene expression in ground control"
"2","GSM1845028","Ground_002","Gene expression in ground control"
"3","GSM1845029","Ground_003","Gene expression in ground control"
"4","GSM1845030","Flight_001","Gene expression in space flight"
"5","GSM1845031","Flight_002","Gene expression in space flight"
"6","GSM1845032","Flight_003","Gene expression in space flight"
