"","accesssions","treatment","description"
"1","GSM94610","Control sample 25th generation_rep1","normal.gravity"
"2","GSM94611","Control sample 25th generation_rep2","normal.gravity"
"3","GSM94612","Control sample 25th generation_rep3","normal.gravity"
"4","GSM94616","Low shear modeled microgravity sample 25th generation_rep1","micro.gravity"
"5","GSM94617","Low shear modeled microgravity sample 25th generation_rep2","micro.gravity"
"6","GSM94618","Low shear modeled microgravity sample 25th generation_rep3","micro.gravity"
