"","accesssions","treatment","description"
"1","GSM94606","Control sample 5th generation_rep1","normal.gravity"
"2","GSM94608","Control sample 5th generation_rep2","normal.gravity"
"3","GSM94609","Control sample 5th generation_rep3","normal.gravity"
"4","GSM94613","Low shear modeled microgravity sample 5th generation_rep1","micro.gravity"
"5","GSM94614","Low shear modeled microgravity sample 5th generation_rep2","micro.gravity"
"6","GSM94615","Low shear modeled microgravity sample 5th generation_rep3","micro.gravity"
